	intron	intergenic	five_prime_UTR	three_prime_UTR	CDS
simulated_533	0.0	2.0	2.0	6.0	14.0
simulated_534	0.0	5.0	0.0	7.0	8.0
simulated_535	0.0	3.0	1.0	1.0	10.0
simulated_536	0.0	1.0	0.0	1.0	19.0
simulated_537	0.0	5.0	0.0	2.0	13.0
simulated_538	0.0	3.0	3.0	4.0	15.0
simulated_539	0.0	1.0	1.0	2.0	14.0
simulated_540	0.0	1.0	1.0	3.0	8.0
simulated_541	0.0	2.0	0.0	1.0	14.0
simulated_542	0.0	4.0	3.0	4.0	13.0
simulated_543	0.0	3.0	3.0	4.0	11.0
simulated_544	0.0	2.0	2.0	4.0	14.0
simulated_545	0.0	5.0	3.0	2.0	14.0
simulated_546	0.0	2.0	2.0	4.0	13.0
simulated_547	0.0	0.0	1.0	6.0	14.0
simulated_548	0.0	1.0	3.0	2.0	14.0
simulated_549	0.0	2.0	1.0	3.0	21.0
simulated_550	0.0	3.0	3.0	1.0	8.0
simulated_551	0.0	0.0	4.0	4.0	11.0
simulated_552	0.0	0.0	1.0	2.0	8.0
simulated_553	0.0	2.0	2.0	2.0	13.0
simulated_554	0.0	4.0	0.0	3.0	23.0
simulated_555	0.0	2.0	0.0	6.0	15.0
simulated_556	0.0	2.0	0.0	10.0	22.0
simulated_557	0.0	4.0	1.0	3.0	7.0
simulated_558	0.0	4.0	0.0	4.0	13.0
simulated_559	0.0	4.0	0.0	1.0	12.0
simulated_560	0.0	2.0	1.0	4.0	13.0
simulated_561	0.0	3.0	3.0	6.0	15.0
simulated_562	0.0	1.0	1.0	8.0	10.0
simulated_563	0.0	0.0	1.0	5.0	12.0
simulated_564	0.0	2.0	0.0	4.0	9.0
simulated_565	0.0	3.0	1.0	5.0	12.0
simulated_566	0.0	2.0	1.0	5.0	10.0
simulated_567	0.0	3.0	1.0	4.0	9.0
simulated_568	0.0	1.0	0.0	5.0	16.0
simulated_569	0.0	5.0	0.0	2.0	13.0
simulated_570	0.0	1.0	2.0	4.0	8.0
simulated_571	0.0	6.0	0.0	6.0	19.0
simulated_572	0.0	5.0	1.0	2.0	14.0
simulated_573	0.0	4.0	4.0	1.0	9.0
simulated_574	0.0	1.0	1.0	4.0	14.0
simulated_575	0.0	2.0	1.0	4.0	13.0
simulated_576	0.0	3.0	1.0	5.0	16.0
simulated_577	0.0	1.0	0.0	6.0	15.0
simulated_578	0.0	1.0	1.0	4.0	11.0
simulated_579	0.0	6.0	2.0	4.0	10.0
simulated_580	0.0	3.0	1.0	8.0	11.0
simulated_581	0.0	3.0	1.0	7.0	8.0
simulated_582	0.0	2.0	3.0	4.0	11.0
simulated_583	0.0	1.0	1.0	7.0	13.0
simulated_584	0.0	3.0	1.0	4.0	16.0
simulated_585	0.0	6.0	1.0	6.0	13.0
simulated_586	0.0	5.0	1.0	0.0	14.0
simulated_587	0.0	2.0	3.0	3.0	12.0
simulated_588	0.0	3.0	3.0	4.0	13.0
simulated_589	0.0	6.0	0.0	1.0	16.0
simulated_590	0.0	3.0	3.0	5.0	15.0
simulated_591	0.0	6.0	4.0	5.0	17.0
simulated_592	0.0	3.0	2.0	3.0	12.0
simulated_593	0.0	3.0	1.0	1.0	10.0
simulated_594	0.0	5.0	0.0	3.0	17.0
simulated_595	0.0	4.0	1.0	5.0	14.0
simulated_596	0.0	2.0	1.0	3.0	13.0
simulated_597	0.0	1.0	1.0	3.0	12.0
simulated_598	0.0	2.0	3.0	2.0	15.0
simulated_599	0.0	2.0	2.0	3.0	12.0
simulated_600	0.0	3.0	2.0	4.0	17.0
simulated_601	0.0	2.0	6.0	10.0	10.0
simulated_602	0.0	7.0	3.0	8.0	18.0
simulated_603	0.0	2.0	2.0	3.0	15.0
simulated_604	0.0	5.0	1.0	2.0	10.0
simulated_605	0.0	1.0	1.0	7.0	13.0
simulated_606	0.0	4.0	5.0	5.0	18.0
simulated_607	0.0	1.0	0.0	7.0	14.0
simulated_608	0.0	4.0	0.0	5.0	18.0
simulated_609	0.0	1.0	1.0	5.0	11.0
simulated_610	0.0	3.0	0.0	3.0	14.0
simulated_611	0.0	4.0	0.0	3.0	12.0
simulated_612	0.0	3.0	3.0	2.0	14.0
simulated_613	0.0	1.0	1.0	2.0	11.0
simulated_614	0.0	1.0	2.0	4.0	14.0
simulated_615	0.0	2.0	2.0	6.0	11.0
simulated_616	0.0	1.0	0.0	5.0	12.0
simulated_617	0.0	1.0	2.0	2.0	15.0
simulated_618	0.0	3.0	2.0	4.0	10.0
simulated_619	0.0	3.0	0.0	1.0	15.0
simulated_620	0.0	5.0	1.0	5.0	15.0
simulated_621	0.0	3.0	0.0	2.0	12.0
simulated_622	0.0	2.0	3.0	5.0	9.0
simulated_623	0.0	2.0	1.0	2.0	15.0
simulated_624	0.0	4.0	1.0	1.0	11.0
simulated_625	0.0	1.0	1.0	6.0	8.0
simulated_626	0.0	4.0	2.0	2.0	18.0
simulated_627	0.0	4.0	1.0	5.0	12.0
simulated_628	0.0	6.0	1.0	2.0	8.0
simulated_629	0.0	2.0	2.0	4.0	11.0
simulated_630	0.0	2.0	2.0	2.0	20.0
simulated_631	0.0	5.0	3.0	4.0	11.0
simulated_632	0.0	1.0	0.0	2.0	6.0
simulated_633	0.0	3.0	0.0	1.0	10.0
simulated_634	0.0	1.0	0.0	2.0	17.0
simulated_635	0.0	6.0	1.0	4.0	8.0
simulated_636	0.0	1.0	1.0	4.0	11.0
simulated_637	0.0	4.0	0.0	7.0	12.0
simulated_638	0.0	2.0	0.0	1.0	14.0
simulated_639	0.0	1.0	0.0	4.0	12.0
simulated_640	0.0	4.0	0.0	3.0	11.0
simulated_641	0.0	5.0	1.0	2.0	9.0
simulated_642	0.0	1.0	0.0	5.0	13.0
simulated_643	0.0	1.0	1.0	3.0	14.0
simulated_644	0.0	2.0	2.0	5.0	15.0
simulated_645	0.0	0.0	3.0	3.0	14.0
simulated_646	0.0	7.0	3.0	3.0	6.0
simulated_647	0.0	3.0	1.0	2.0	17.0
simulated_648	0.0	2.0	2.0	4.0	5.0
simulated_649	0.0	2.0	0.0	4.0	11.0
simulated_650	0.0	2.0	0.0	8.0	20.0
simulated_651	0.0	3.0	2.0	4.0	12.0
simulated_652	0.0	3.0	4.0	4.0	13.0
simulated_653	0.0	2.0	0.0	3.0	10.0
simulated_654	0.0	0.0	2.0	3.0	15.0
simulated_655	0.0	5.0	0.0	2.0	9.0
simulated_656	0.0	4.0	1.0	6.0	7.0
simulated_657	0.0	3.0	1.0	6.0	15.0
simulated_658	0.0	3.0	1.0	0.0	6.0
simulated_659	0.0	5.0	2.0	3.0	13.0
simulated_660	0.0	3.0	0.0	1.0	12.0
simulated_661	0.0	5.0	0.0	0.0	12.0
simulated_662	0.0	2.0	1.0	0.0	13.0
simulated_663	0.0	3.0	1.0	6.0	13.0
simulated_664	0.0	3.0	1.0	3.0	21.0
simulated_665	0.0	2.0	0.0	3.0	5.0
simulated_666	0.0	3.0	2.0	5.0	16.0
simulated_667	0.0	2.0	0.0	2.0	14.0
simulated_668	0.0	5.0	2.0	5.0	14.0
simulated_669	0.0	3.0	2.0	0.0	17.0
simulated_670	0.0	2.0	2.0	1.0	12.0
simulated_671	0.0	9.0	0.0	2.0	12.0
simulated_672	0.0	5.0	1.0	2.0	12.0
simulated_673	0.0	4.0	1.0	0.0	11.0
simulated_674	0.0	3.0	0.0	2.0	11.0
simulated_675	0.0	2.0	1.0	3.0	10.0
simulated_676	0.0	2.0	4.0	2.0	15.0
simulated_677	0.0	2.0	0.0	5.0	8.0
simulated_678	0.0	7.0	2.0	1.0	12.0
simulated_679	0.0	0.0	2.0	3.0	9.0
simulated_680	0.0	5.0	1.0	3.0	9.0
simulated_681	0.0	0.0	2.0	2.0	16.0
simulated_682	0.0	1.0	2.0	3.0	9.0
simulated_683	0.0	3.0	1.0	4.0	16.0
simulated_684	0.0	3.0	0.0	5.0	24.0
simulated_685	0.0	2.0	2.0	5.0	9.0
simulated_686	0.0	4.0	0.0	4.0	8.0
simulated_687	0.0	4.0	3.0	3.0	12.0
simulated_688	0.0	3.0	2.0	5.0	12.0
simulated_689	0.0	3.0	0.0	4.0	19.0
simulated_690	0.0	1.0	2.0	2.0	14.0
simulated_691	0.0	0.0	0.0	3.0	15.0
simulated_692	0.0	2.0	2.0	7.0	14.0
simulated_693	0.0	2.0	2.0	2.0	14.0
simulated_694	0.0	2.0	1.0	1.0	8.0
simulated_695	0.0	2.0	0.0	3.0	11.0
simulated_696	0.0	2.0	0.0	2.0	11.0
simulated_697	0.0	1.0	3.0	4.0	14.0
simulated_698	0.0	5.0	1.0	4.0	13.0
simulated_699	0.0	2.0	1.0	3.0	13.0
simulated_700	0.0	3.0	2.0	6.0	8.0
simulated_701	0.0	1.0	2.0	5.0	14.0
simulated_702	0.0	1.0	1.0	1.0	16.0
simulated_703	0.0	1.0	0.0	5.0	16.0
simulated_704	0.0	1.0	1.0	2.0	12.0
simulated_705	0.0	1.0	3.0	1.0	20.0
simulated_706	0.0	5.0	0.0	0.0	12.0
simulated_707	0.0	1.0	0.0	4.0	14.0
simulated_708	0.0	2.0	0.0	1.0	9.0
simulated_709	0.0	3.0	2.0	3.0	18.0
simulated_710	0.0	3.0	0.0	2.0	10.0
simulated_711	0.0	4.0	2.0	5.0	8.0
simulated_712	0.0	2.0	1.0	9.0	14.0
simulated_713	0.0	3.0	1.0	2.0	12.0
simulated_714	0.0	3.0	0.0	2.0	9.0
simulated_715	0.0	2.0	3.0	5.0	17.0
simulated_716	0.0	4.0	1.0	8.0	13.0
simulated_717	0.0	6.0	1.0	3.0	11.0
simulated_718	0.0	4.0	1.0	2.0	12.0
simulated_719	0.0	2.0	1.0	0.0	14.0
simulated_720	0.0	5.0	2.0	5.0	4.0
simulated_721	0.0	4.0	0.0	4.0	10.0
simulated_722	0.0	4.0	1.0	4.0	13.0
simulated_723	0.0	4.0	0.0	5.0	19.0
simulated_724	0.0	2.0	1.0	4.0	12.0
simulated_725	0.0	1.0	0.0	2.0	13.0
simulated_726	0.0	4.0	2.0	1.0	15.0
simulated_727	0.0	3.0	2.0	4.0	9.0
simulated_728	0.0	4.0	2.0	5.0	11.0
simulated_729	0.0	4.0	1.0	4.0	22.0
simulated_730	0.0	7.0	1.0	5.0	16.0
simulated_731	0.0	4.0	1.0	4.0	13.0
simulated_732	0.0	4.0	2.0	4.0	16.0
simulated_733	0.0	4.0	2.0	3.0	12.0
simulated_734	0.0	0.0	2.0	6.0	11.0
simulated_735	0.0	4.0	0.0	7.0	11.0
simulated_736	0.0	4.0	0.0	5.0	10.0
simulated_737	0.0	3.0	1.0	3.0	17.0
simulated_738	0.0	5.0	1.0	0.0	8.0
simulated_739	0.0	3.0	2.0	5.0	6.0
simulated_740	0.0	2.0	1.0	5.0	14.0
simulated_741	0.0	3.0	0.0	4.0	11.0
simulated_742	0.0	1.0	0.0	3.0	12.0
simulated_743	0.0	4.0	2.0	4.0	13.0
simulated_744	0.0	2.0	2.0	3.0	21.0
simulated_745	0.0	2.0	1.0	5.0	14.0
simulated_746	0.0	2.0	2.0	2.0	9.0
simulated_747	0.0	3.0	2.0	4.0	5.0
simulated_748	0.0	2.0	1.0	6.0	14.0
simulated_749	0.0	0.0	0.0	2.0	23.0
simulated_750	0.0	4.0	1.0	2.0	11.0
simulated_751	0.0	6.0	1.0	3.0	7.0
simulated_752	0.0	4.0	4.0	5.0	9.0
simulated_753	0.0	5.0	0.0	3.0	11.0
simulated_754	0.0	2.0	0.0	5.0	14.0
simulated_755	0.0	7.0	1.0	5.0	9.0
simulated_756	0.0	2.0	1.0	0.0	16.0
simulated_757	0.0	3.0	3.0	4.0	15.0
simulated_758	0.0	0.0	0.0	4.0	12.0
simulated_759	0.0	0.0	1.0	9.0	12.0
simulated_760	0.0	1.0	1.0	3.0	17.0
simulated_761	0.0	1.0	1.0	5.0	11.0
simulated_762	0.0	4.0	1.0	5.0	12.0
simulated_763	0.0	4.0	3.0	3.0	13.0
simulated_764	0.0	6.0	1.0	4.0	11.0
simulated_765	0.0	3.0	2.0	6.0	18.0
simulated_766	0.0	3.0	1.0	7.0	13.0
simulated_767	0.0	3.0	2.0	2.0	7.0
simulated_768	0.0	6.0	1.0	7.0	10.0
simulated_769	0.0	5.0	0.0	5.0	13.0
simulated_770	0.0	1.0	1.0	2.0	18.0
simulated_771	0.0	2.0	0.0	3.0	13.0
simulated_772	0.0	4.0	1.0	4.0	11.0
simulated_773	0.0	1.0	3.0	3.0	17.0
simulated_774	0.0	0.0	1.0	1.0	10.0
simulated_775	0.0	4.0	0.0	1.0	15.0
simulated_776	0.0	3.0	3.0	6.0	14.0
simulated_777	0.0	4.0	2.0	2.0	14.0
simulated_778	0.0	0.0	0.0	7.0	15.0
simulated_779	0.0	0.0	1.0	3.0	14.0
simulated_780	0.0	4.0	1.0	5.0	9.0
simulated_781	0.0	1.0	3.0	3.0	12.0
simulated_782	0.0	2.0	3.0	3.0	8.0
simulated_783	0.0	0.0	2.0	6.0	12.0
simulated_784	0.0	3.0	1.0	3.0	12.0
simulated_785	0.0	4.0	0.0	6.0	20.0
simulated_786	0.0	1.0	2.0	1.0	12.0
simulated_787	0.0	1.0	1.0	3.0	6.0
simulated_788	0.0	6.0	0.0	6.0	7.0
simulated_789	0.0	6.0	0.0	4.0	18.0
simulated_790	0.0	6.0	1.0	2.0	17.0
simulated_791	0.0	3.0	2.0	3.0	11.0
simulated_792	0.0	3.0	0.0	3.0	11.0
simulated_793	0.0	4.0	2.0	5.0	8.0
simulated_794	0.0	4.0	3.0	2.0	16.0
simulated_795	0.0	5.0	0.0	3.0	10.0
simulated_796	0.0	3.0	0.0	3.0	9.0
simulated_797	0.0	3.0	3.0	3.0	10.0
simulated_798	0.0	3.0	0.0	7.0	16.0
simulated_799	0.0	1.0	2.0	4.0	22.0
simulated_800	0.0	3.0	2.0	3.0	15.0
simulated_801	0.0	1.0	1.0	5.0	19.0
simulated_802	0.0	3.0	3.0	4.0	13.0
simulated_803	0.0	0.0	3.0	0.0	14.0
simulated_804	0.0	1.0	1.0	3.0	15.0
simulated_805	0.0	2.0	1.0	3.0	13.0
simulated_806	0.0	2.0	1.0	4.0	9.0
simulated_807	0.0	6.0	1.0	6.0	16.0
simulated_808	0.0	2.0	1.0	3.0	10.0
simulated_809	0.0	0.0	2.0	3.0	13.0
simulated_810	0.0	4.0	3.0	1.0	15.0
simulated_811	0.0	2.0	3.0	4.0	11.0
simulated_812	0.0	3.0	2.0	2.0	11.0
simulated_813	0.0	4.0	0.0	4.0	14.0
simulated_814	0.0	4.0	1.0	6.0	12.0
simulated_815	0.0	2.0	2.0	4.0	21.0
simulated_816	0.0	1.0	2.0	5.0	12.0
simulated_817	0.0	2.0	4.0	2.0	12.0
simulated_818	0.0	2.0	0.0	1.0	11.0
simulated_819	0.0	1.0	0.0	2.0	13.0
simulated_820	0.0	3.0	2.0	2.0	7.0
simulated_821	0.0	5.0	2.0	9.0	15.0
simulated_822	0.0	1.0	0.0	1.0	15.0
simulated_823	0.0	4.0	3.0	0.0	19.0
simulated_824	0.0	2.0	1.0	4.0	11.0
simulated_825	0.0	4.0	0.0	6.0	9.0
simulated_826	0.0	5.0	1.0	1.0	11.0
simulated_827	0.0	3.0	0.0	2.0	14.0
simulated_828	0.0	0.0	2.0	6.0	12.0
simulated_829	0.0	0.0	0.0	2.0	10.0
simulated_830	0.0	3.0	0.0	3.0	12.0
simulated_831	0.0	4.0	1.0	10.0	13.0
simulated_832	0.0	3.0	2.0	3.0	10.0
simulated_833	0.0	2.0	0.0	3.0	16.0
simulated_834	0.0	6.0	1.0	4.0	10.0
simulated_835	0.0	1.0	1.0	9.0	15.0
simulated_836	0.0	4.0	2.0	4.0	14.0
simulated_837	0.0	2.0	2.0	2.0	19.0
simulated_838	0.0	2.0	1.0	2.0	13.0
simulated_839	0.0	5.0	3.0	2.0	12.0
simulated_840	0.0	3.0	0.0	6.0	13.0
simulated_841	0.0	2.0	0.0	4.0	11.0
simulated_842	0.0	3.0	0.0	5.0	18.0
simulated_843	0.0	1.0	3.0	7.0	14.0
simulated_844	0.0	10.0	2.0	4.0	6.0
simulated_845	0.0	2.0	3.0	3.0	11.0
simulated_846	0.0	5.0	3.0	3.0	11.0
simulated_847	0.0	4.0	1.0	3.0	13.0
simulated_848	0.0	2.0	1.0	3.0	7.0
simulated_849	0.0	3.0	0.0	6.0	11.0
simulated_850	0.0	5.0	1.0	5.0	7.0
simulated_851	0.0	1.0	6.0	9.0	13.0
simulated_852	0.0	0.0	1.0	5.0	11.0
simulated_853	0.0	4.0	0.0	5.0	10.0
simulated_854	0.0	1.0	1.0	5.0	11.0
simulated_855	0.0	1.0	2.0	2.0	12.0
simulated_856	0.0	3.0	3.0	6.0	13.0
simulated_857	0.0	3.0	0.0	4.0	13.0
simulated_858	0.0	5.0	1.0	3.0	12.0
simulated_859	0.0	3.0	0.0	3.0	9.0
simulated_860	0.0	3.0	1.0	5.0	15.0
simulated_861	0.0	3.0	0.0	2.0	14.0
simulated_862	0.0	2.0	2.0	2.0	18.0
simulated_863	0.0	3.0	1.0	4.0	8.0
simulated_864	0.0	4.0	1.0	3.0	8.0
simulated_865	0.0	3.0	0.0	2.0	6.0
simulated_866	0.0	2.0	0.0	4.0	11.0
simulated_867	0.0	2.0	2.0	2.0	15.0
simulated_868	0.0	3.0	2.0	4.0	11.0
simulated_869	0.0	5.0	2.0	0.0	13.0
simulated_870	0.0	4.0	0.0	9.0	16.0
simulated_871	0.0	4.0	2.0	3.0	14.0
simulated_872	0.0	1.0	2.0	2.0	8.0
simulated_873	0.0	2.0	1.0	1.0	20.0
simulated_874	0.0	5.0	0.0	7.0	8.0
simulated_875	0.0	2.0	2.0	3.0	18.0
simulated_876	0.0	1.0	1.0	4.0	12.0
simulated_877	0.0	2.0	2.0	2.0	16.0
simulated_878	0.0	10.0	0.0	3.0	3.0
simulated_879	0.0	3.0	1.0	4.0	16.0
simulated_880	0.0	1.0	2.0	4.0	21.0
simulated_881	0.0	2.0	0.0	3.0	24.0
simulated_882	0.0	3.0	0.0	5.0	15.0
simulated_883	0.0	4.0	4.0	1.0	12.0
simulated_884	0.0	3.0	1.0	2.0	17.0
simulated_885	0.0	2.0	2.0	7.0	12.0
simulated_886	0.0	3.0	0.0	2.0	15.0
simulated_887	0.0	5.0	2.0	2.0	11.0
simulated_888	0.0	4.0	0.0	2.0	11.0
simulated_889	0.0	7.0	1.0	7.0	4.0
simulated_890	0.0	3.0	0.0	4.0	12.0
simulated_891	0.0	1.0	1.0	3.0	16.0
simulated_892	0.0	5.0	0.0	6.0	9.0
simulated_893	0.0	4.0	0.0	8.0	8.0
simulated_894	0.0	3.0	1.0	4.0	16.0
simulated_895	0.0	4.0	3.0	2.0	19.0
simulated_896	0.0	6.0	1.0	5.0	14.0
simulated_897	0.0	1.0	3.0	2.0	13.0
simulated_898	0.0	3.0	2.0	5.0	14.0
simulated_899	0.0	3.0	2.0	1.0	10.0
simulated_900	0.0	4.0	0.0	2.0	14.0
simulated_901	0.0	3.0	4.0	3.0	8.0
simulated_902	0.0	3.0	1.0	3.0	9.0
simulated_903	0.0	6.0	1.0	2.0	8.0
simulated_904	0.0	4.0	1.0	5.0	15.0
simulated_905	0.0	5.0	2.0	1.0	14.0
simulated_906	0.0	4.0	3.0	3.0	19.0
simulated_907	0.0	6.0	2.0	4.0	14.0
simulated_908	0.0	3.0	0.0	1.0	13.0
simulated_909	0.0	2.0	1.0	2.0	10.0
simulated_910	0.0	3.0	1.0	3.0	14.0
simulated_911	0.0	5.0	0.0	6.0	11.0
simulated_912	0.0	3.0	0.0	8.0	15.0
simulated_913	0.0	4.0	3.0	5.0	12.0
simulated_914	0.0	4.0	0.0	3.0	13.0
simulated_915	0.0	2.0	0.0	4.0	15.0
simulated_916	0.0	2.0	3.0	2.0	9.0
simulated_917	0.0	2.0	2.0	5.0	18.0
simulated_918	0.0	3.0	2.0	6.0	14.0
simulated_919	0.0	4.0	0.0	2.0	14.0
simulated_920	0.0	1.0	1.0	3.0	14.0
simulated_921	0.0	1.0	1.0	2.0	13.0
simulated_922	0.0	4.0	2.0	3.0	7.0
simulated_923	0.0	3.0	0.0	6.0	14.0
simulated_924	0.0	3.0	3.0	5.0	11.0
simulated_925	0.0	4.0	2.0	2.0	19.0
simulated_926	0.0	1.0	1.0	2.0	5.0
simulated_927	0.0	1.0	1.0	5.0	14.0
simulated_928	0.0	3.0	2.0	4.0	9.0
simulated_929	0.0	2.0	3.0	5.0	7.0
simulated_930	0.0	1.0	0.0	3.0	12.0
simulated_931	0.0	2.0	2.0	3.0	9.0
simulated_932	0.0	3.0	3.0	6.0	17.0
simulated_933	0.0	3.0	1.0	5.0	14.0
simulated_934	0.0	5.0	0.0	5.0	13.0
simulated_935	0.0	5.0	0.0	4.0	16.0
simulated_936	0.0	3.0	0.0	4.0	14.0
simulated_937	0.0	3.0	1.0	3.0	16.0
simulated_938	0.0	1.0	0.0	3.0	10.0
simulated_939	0.0	2.0	2.0	5.0	15.0
simulated_940	0.0	4.0	2.0	2.0	8.0
simulated_941	0.0	1.0	2.0	4.0	14.0
simulated_942	0.0	3.0	0.0	6.0	18.0
simulated_943	0.0	4.0	2.0	3.0	12.0
simulated_944	0.0	3.0	2.0	4.0	14.0
simulated_945	0.0	3.0	3.0	4.0	10.0
simulated_946	0.0	1.0	0.0	3.0	11.0
simulated_947	0.0	5.0	1.0	1.0	13.0
simulated_948	0.0	0.0	2.0	3.0	16.0
simulated_949	0.0	2.0	1.0	3.0	13.0
simulated_950	0.0	1.0	0.0	4.0	14.0
simulated_951	0.0	8.0	0.0	9.0	14.0
simulated_952	0.0	2.0	2.0	2.0	14.0
simulated_953	0.0	2.0	1.0	3.0	12.0
simulated_954	0.0	2.0	2.0	5.0	14.0
simulated_955	0.0	4.0	0.0	2.0	8.0
simulated_956	0.0	6.0	1.0	2.0	16.0
simulated_957	0.0	2.0	2.0	2.0	12.0
simulated_958	0.0	3.0	1.0	4.0	10.0
simulated_959	0.0	3.0	1.0	6.0	11.0
simulated_960	0.0	3.0	1.0	9.0	7.0
simulated_961	0.0	3.0	1.0	3.0	12.0
simulated_962	0.0	3.0	0.0	8.0	12.0
simulated_963	0.0	2.0	3.0	3.0	5.0
simulated_964	0.0	2.0	2.0	2.0	10.0
simulated_965	0.0	5.0	0.0	3.0	16.0
simulated_966	0.0	6.0	0.0	1.0	26.0
simulated_967	0.0	3.0	0.0	2.0	13.0
simulated_968	0.0	3.0	1.0	6.0	18.0
simulated_969	0.0	4.0	1.0	1.0	11.0
simulated_970	0.0	1.0	0.0	5.0	12.0
simulated_971	0.0	2.0	0.0	1.0	14.0
simulated_972	0.0	3.0	2.0	2.0	13.0
simulated_973	0.0	1.0	0.0	8.0	10.0
simulated_974	0.0	3.0	2.0	3.0	12.0
simulated_975	0.0	6.0	2.0	3.0	11.0
simulated_976	0.0	4.0	1.0	2.0	6.0
simulated_977	0.0	2.0	3.0	8.0	20.0
simulated_978	0.0	2.0	2.0	3.0	13.0
simulated_979	0.0	2.0	5.0	4.0	12.0
simulated_980	0.0	7.0	2.0	5.0	10.0
simulated_981	0.0	1.0	0.0	3.0	9.0
simulated_982	0.0	3.0	1.0	6.0	10.0
simulated_983	0.0	2.0	4.0	3.0	13.0
simulated_984	0.0	5.0	1.0	5.0	12.0
simulated_985	0.0	2.0	1.0	5.0	17.0
simulated_986	0.0	1.0	0.0	3.0	14.0
simulated_987	0.0	1.0	2.0	9.0	9.0
simulated_988	0.0	1.0	0.0	3.0	9.0
simulated_989	0.0	3.0	1.0	3.0	13.0
simulated_990	0.0	3.0	3.0	3.0	12.0
simulated_991	0.0	3.0	2.0	2.0	10.0
simulated_992	0.0	2.0	3.0	1.0	14.0
simulated_993	0.0	2.0	4.0	1.0	13.0
simulated_994	0.0	4.0	1.0	4.0	17.0
simulated_995	0.0	3.0	2.0	10.0	15.0
simulated_996	0.0	2.0	1.0	2.0	13.0
simulated_997	0.0	1.0	2.0	3.0	12.0
simulated_998	0.0	6.0	2.0	4.0	18.0
simulated_999	0.0	2.0	2.0	5.0	10.0
simulated_1000	0.0	2.0	1.0	7.0	14.0
