	intron	intergenic	five_prime_UTR	three_prime_UTR	CDS
simulated_107	0.0	5.0	1.0	2.0	16.0
simulated_108	0.0	4.0	1.0	1.0	17.0
simulated_109	0.0	2.0	2.0	5.0	10.0
simulated_110	0.0	3.0	3.0	4.0	9.0
simulated_111	0.0	6.0	0.0	5.0	11.0
simulated_112	0.0	3.0	0.0	6.0	11.0
simulated_113	0.0	3.0	2.0	3.0	17.0
simulated_114	0.0	6.0	1.0	6.0	16.0
simulated_115	0.0	0.0	2.0	5.0	15.0
simulated_116	0.0	4.0	1.0	5.0	10.0
simulated_117	0.0	2.0	0.0	2.0	11.0
simulated_118	0.0	4.0	1.0	6.0	12.0
simulated_119	0.0	1.0	1.0	2.0	19.0
simulated_120	0.0	4.0	2.0	2.0	15.0
simulated_121	0.0	3.0	1.0	2.0	13.0
simulated_122	0.0	1.0	1.0	3.0	9.0
simulated_123	0.0	1.0	4.0	2.0	18.0
simulated_124	0.0	7.0	1.0	3.0	12.0
simulated_125	0.0	2.0	1.0	4.0	12.0
simulated_126	0.0	4.0	1.0	5.0	13.0
simulated_127	0.0	2.0	2.0	3.0	13.0
simulated_128	0.0	1.0	0.0	2.0	17.0
simulated_129	0.0	4.0	3.0	1.0	10.0
simulated_130	0.0	1.0	2.0	4.0	10.0
simulated_131	0.0	2.0	1.0	1.0	9.0
simulated_132	0.0	2.0	1.0	3.0	14.0
simulated_133	0.0	3.0	1.0	5.0	7.0
simulated_134	0.0	2.0	1.0	5.0	12.0
simulated_135	0.0	3.0	4.0	3.0	19.0
simulated_136	0.0	3.0	5.0	8.0	12.0
simulated_137	0.0	2.0	0.0	4.0	20.0
simulated_138	0.0	0.0	1.0	4.0	13.0
simulated_139	0.0	0.0	2.0	7.0	17.0
simulated_140	0.0	3.0	2.0	3.0	18.0
simulated_141	0.0	2.0	1.0	5.0	15.0
simulated_142	0.0	4.0	3.0	3.0	11.0
simulated_143	0.0	3.0	1.0	3.0	9.0
simulated_144	0.0	2.0	1.0	1.0	12.0
simulated_145	0.0	2.0	0.0	0.0	19.0
simulated_146	0.0	6.0	2.0	1.0	15.0
simulated_147	0.0	6.0	1.0	2.0	13.0
simulated_148	0.0	6.0	0.0	4.0	20.0
simulated_149	0.0	2.0	0.0	5.0	10.0
simulated_150	0.0	1.0	1.0	5.0	13.0
simulated_151	0.0	1.0	2.0	7.0	16.0
simulated_152	0.0	3.0	1.0	6.0	16.0
