	mean	Vm_per_gen	Vm_per_median_gen	Vm_per_mut	Vm_per_median_mut
ChCC-v11000010m.g	0.9497724204107738	0.008038389565218986	0.007965626655514533	0.049480147192174896	0.0711393814347873
ChCC-v11000011m.g	0.26513109949118	0.00665438861642143	0.006594153581268362	0.04096095686120128	0.05889103609101014
ChCC-v11000015m.g	-1.62873860140109	0.011244993506602416	0.01114320465443128	0.06921833401670681	0.09951768022779357
ChCC-v11000021m.g	-1.4987882375310262	0.007545337213541657	0.00747703737737371	0.04644517324167096	0.06677589058519486
ChCC-v11000022m.g	0.3033818876906838	0.0007528101152756597	0.0007459957336140127	0.004633907701210426	0.006662335223249707
ChCC-v11000023m.g	0.21343299597501747	0.0007895762908328479	0.0007824291044606877	0.004860221164063039	0.006987714201917048
ChCC-v11000027m.g	-0.42798519351185005	0.0012931328832163549	0.0012814275396952526	0.00795985375944437	0.011444167103201152
ChCC-v11000028m.g	0.21471351316086698	0.00031833609256794843	0.00031545453772773344	0.0019595114903360362	0.0028172599162944525
ChCC-v11000029m.g	0.2483746262281771	0.0004416548584662618	0.0004376570312489592	0.0027185977026549435	0.003908625376269938
ChCC-v11000032m.g	0.12698972318151702	0.0029820251798993724	0.0029550321078243053	0.018355796722097917	0.026390786985355873
ChCC-v11000033m.g	-0.7689852971922186	0.0015931005070718423	0.001578679878735073	0.009806298505725104	0.014098866908231188
ChCC-v11000035m.g	0.860707454751413	0.005561066003009892	0.005510727643546904	0.034231031245974826	0.04921518077251476
ChCC-v11000037m.g	0.3809910944220364	0.0013666318994250844	0.0013542612482280638	0.008412275492800473	0.012094630048139548
ChCC-v11000040m.g	0.7618653258757307	0.0017974558172193635	0.001781185379681479	0.011064203555432214	0.015907402092904428
ChCC-v11000042m.g	0.7714287218883977	0.003315077189042931	0.0032850693547357545	0.020405891744411493	0.0293382820929086
ChCC-v11000048m.g	-0.4101479908614942	0.0015466899932692004	0.0015326894694817018	0.009520619510500067	0.013688135975473682
ChCC-v11000049m.g	-0.09679520573309812	0.00024099748685305997	0.0002388159953698947	0.00148345524009308	0.0021328167791526925
ChCC-v11000050m.g	-1.078099953455792	0.006650180901296444	0.006589983954070469	0.04093505635438485	0.05885379800385143
ChCC-v11000051m.g	0.3139337096336404	0.002951374291647571	0.0029246586691531857	0.01816712578870198	0.026119528020737564
ChCC-v11000056m.g	-0.05907317628655681	0.0023700779488159216	0.0023486241779600786	0.014588967704645574	0.020975081869697976
ChCC-v11000058m.g	0.9966701337004817	0.004383089815257159	0.004343414409398004	0.026980022236523522	0.0387901451777942
ChCC-v11000060m.g	-1.1873384326293759	0.008627534543839058	0.008549438737223554	0.053106617397822076	0.07635328765498192
ChCC-v11000066m.g	1.3785105275594822	0.005953225661194639	0.005899337501418205	0.03664496222709738	0.05268577588122302
ChCC-v11000067m.g	0.6126099080278029	0.0013460291673953902	0.0013338450106097413	0.008285455785305689	0.011912296808307424
ChCC-v11000068m.g	0.18821431711746575	0.00048392064876686834	0.00047954023473186066	0.002978763934746562	0.004282675694862038
ChCC-v11000071m.g	1.425714082997797	0.00743895354151201	0.007371616682500012	0.04579033066304712	0.0658343999344187
ChCC-v11000075m.g	-0.28616585584715676	0.002408258490947699	0.0023864591126393853	0.014823987272835152	0.021312977928113937
ChCC-v11000079m.g	0.8368806647326987	0.0032106967024385486	0.0031816337126005386	0.019763379733856185	0.028414519541883797
ChCC-v11000081m.g	0.5651368649858487	0.0011776315441995543	0.0011669717102837573	0.00724888756291009	0.010421985514976395
ChCC-v11000082m.g	-0.5629114124501171	0.002661768087352821	0.002637673958868147	0.0163844605545767	0.023556526306768764
ChCC-v11000084m.g	0.187324613551186	0.003730908360916688	0.003697136453499362	0.022965532257535535	0.03301836901932468
ChCC-v11000091m.g	0.0216053958868486	0.001368694923511666	0.0013563055979727125	0.008424974396559348	0.012112887717317403
ChCC-v11000101m.g	-0.12351076861378928	0.0014851868225923487	0.001471743020971422	0.009142037965877805	0.013143835716979033
ChCC-v11000102m.g	0.07450487943062244	0.00016935469466893428	0.000167821708458669	0.0010424594568248474	0.001498781332265158
ChCC-v11000104m.g	1.1720634411943867	0.005106740268950284	0.005060514432536295	0.03143443822046004	0.04519441872451048
ChCC-v11000108m.g	-0.34076790640322546	0.00039759469983744123	0.00039399570192765864	0.002447386271985095	0.0035186949797219673
