## source: http://pathways.mcdb.ucla.edu/algal/id_conversion.html
JGI_v5.3.1_ID	JGI_v5.5_ID
Cre08.g376150	Cre08.g376150.t1.1, Cre08.g376150.t2.1
Cre08.g369800	Cre08.g369800.t1.2
g9035	N/A
Cre08.g383850	Cre08.g383850.t1.1, Cre08.g383850.t2.1
Cre08.g372150	Cre08.g372150.t1.2
Cre08.g377500	Cre08.g377500.t1.2
Cre08.g381750	Cre08.g381750.t1.1
Cre08.g379100	Cre08.g379100.t1.1, Cre08.g379100.t2.1
g8922	N/A
g8620	Cre08.g367900.t1.2, Cre08.g367900.t2.1
g8620	Cre08.g367900.t1.2, Cre08.g367900.t2.1
Cre08.g376550	Cre08.g376550.t1.2
Cre08.g385500	Cre08.g385500.t1.2, Cre08.g385500.t2.1
g9070	N/A
Cre08.g369200	Cre08.g369200.t1.1
Cre08.g359400	Cre08.g359400.t1.2
Cre08.g368500	Cre08.g368500.t1.2
Cre08.g362682	Cre08.g362682.t1.2
Cre08.g375900	Cre08.g375900.t1.1
Cre08.g385450	Cre08.g385450.t1.2
g8883	Cre08.g377200.t1.1
g8789	Cre08.g373376.t1.1
Cre08.g380950	Cre08.g380950.t1.2
Cre08.g374600	Cre08.g374600.t1.1
g8362	Cre08.g358545.t1.1
g8645	N/A
Cre08.g368900	Cre08.g368900.t1.2, Cre08.g368900.t2.1
g8780	Cre08.g373370.t1.1
g8761	Cre08.g373354.t1.1
Cre08.g365801	Cre08.g365825.t2.1, Cre08.g365825.t1.1
g8572	N/A
g8749	Cre08.g373344.t1.1
Cre08.g369400	Cre08.g369400.t1.2
Cre08.g380500	Cre08.g380500.t1.2
Cre08.g381650	Cre08.g381650.t1.1
Cre08.g377300	Cre08.g377300.t1.1
Cre08.g376050	Cre08.g376050.t1.1
Cre08.g379600	Cre08.g379600.t1.1
Cre08.g361900	Cre08.g361900.t1.2
Cre08.g366874	Cre08.g366874.t1.2
Cre08.g378550	Cre08.g378550.t1.2
g8603	N/A
Cre08.g367150	Cre08.g367150.t2.1, Cre08.g367150.t1.1
g8779	Cre08.g373369.t1.1
g8585	N/A
Cre08.g366400	Cre08.g366400.t2.1, Cre08.g366400.t1.2
g8390	Cre08.g358575.t1.1
Cre08.g385050	Cre08.g385050.t1.1
g8474	N/A
Cre08.g361950	Cre08.g361950.t2.1, Cre08.g361950.t1.1
g8377	Cre08.g358561.t1.1
Cre08.g365664	Cre08.g365664.t1.2
Cre08.g381200	Cre08.g381200.t1.1
Cre08.g372500	Cre08.g372500.t1.2
Cre08.g375500	Cre08.g375500.t1.2
Cre08.g382800	Cre08.g382800.t1.2
Cre08.g368750	Cre08.g368750.t1.1
g8756	Cre08.g373349.t1.1, Cre08.g373349.t2.1, Cre08.g373349.t3.1
g8756	Cre08.g373349.t1.1, Cre08.g373349.t2.1, Cre08.g373349.t3.1
g8756	Cre08.g373349.t1.1, Cre08.g373349.t2.1, Cre08.g373349.t3.1
Cre08.g381400	Cre08.g381400.t1.2
g8344	Cre08.g358527.t1.1
g8370	Cre08.g358554.t1.1
Cre08.g361750	Cre08.g361750.t1.1
Cre08.g361400	Cre08.g361400.t1.2
Cre08.g385300	Cre08.g385300.t1.2
g8541	Cre08.g364775.t1.2
g8369	Cre08.g358553.t1.1
g8737	Cre08.g373100.t1.1
Cre08.g371801	Cre08.g371801.t1.2
Cre08.g374300	Cre08.g374300.t1.1
Cre08.g374200	Cre08.g374200.t1.1
Cre08.g360600	Cre08.g360600.t1.1
g8448	Cre08.g360750.t1.1
Cre08.g370850	Cre08.g370850.t1.1
g8364	Cre08.g358547.t1.1
Cre08.g378200	Cre08.g378200.t1.2
Cre08.g381000	Cre08.g381000.t1.2
Cre08.g369250	Cre08.g369250.t1.2
Cre08.g383550	Cre08.g383550.t1.2
g8569	Cre08.g365720.t1.1
Cre08.g362300	Cre08.g362300.t1.1
Cre08.g362800	Cre08.g362800.t1.2
Cre08.g376250	Cre08.g376250.t1.1
Cre08.g371600	Cre08.g371600.t1.2
Cre08.g369000	Cre08.g369000.t1.1
g8371	Cre08.g358555.t1.1
g9000	Cre08.g382515.t1.1
Cre08.g372400	Cre08.g372400.t1.2
Cre08.g377700	Cre08.g377700.t1.1
g8467	Cre08.g361650.t1.1
g8808	Cre08.g373764.t1.1
Cre08.g379750	Cre08.g379750.t1.2
Cre08.g385200	Cre08.g385200.t1.1
Cre08.g362150	Cre08.g362150.t1.1
Cre08.g383900	Cre08.g383900.t1.1
g8788	Cre08.g373375.t1.1
Cre08.g374550	Cre08.g374550.t1.2
Cre08.g382750	Cre08.g382750.t1.1
g8873	N/A
Cre08.g376750	Cre08.g376720.t2.1, Cre08.g376720.t1.1
Cre08.g378650	Cre08.g378650.t1.2
g8330	N/A
Cre08.g358200	Cre08.g358200.t1.1, Cre08.g358200.t2.1
g8385	Cre08.g358570.t1.1
Cre08.g369500	Cre08.g369500.t1.2
g8681	Cre08.g370450.t1.2
g8346	Cre08.g358529.t1.1
Cre08.g384750	Cre08.g384750.t1.1
g9002	Cre08.g382545.t1.1
Cre08.g367950	Cre08.g367950.t1.1
g8384	Cre08.g358569.t1.1
g8799	Cre08.g373428.t1.1
Cre08.g366300	Cre08.g366300.t1.1
Cre08.g362650	Cre08.g362650.t1.1
g9004	Cre08.g382575.t1.1
g8351	Cre08.g358535.t1.1
g8804	N/A
Cre08.g373600	Cre08.g373583.t1.1, Cre08.g373583.t2.1
Cre08.g372650	Cre08.g372650.t1.2
Cre08.g367350	Cre08.g367350.t1.2
g8557	Cre08.g365103.t1.1
g8339	Cre08.g358522.t1.1
g8794	Cre08.g373407.t1.1
g8936	Cre08.g379576.t1.1
Cre08.g359450	Cre08.g359450.t1.2
Cre08.g374900	Cre08.g374900.t1.2
g8771	Cre08.g373362.t1.1
Cre08.g380350	Cre08.g380350.t1.2
Cre08.g378350	Cre08.g378351.t1.1
Cre08.g367800	Cre08.g367800.t1.2
Cre08.g375550	Cre08.g375550.t1.2
Cre08.g363800	Cre08.g363800.t1.1
Cre08.g373300	Cre08.g373300.t1.1
Cre08.g368800	Cre08.g368800.t1.2, Cre08.g368800.t2.1
g8643	N/A
g8555	Cre08.g365027.t1.1
Cre08.g361984	Cre08.g361984.t1.2
Cre08.g378000	Cre08.g378000.t1.2
Cre08.g368350	Cre08.g368350.t1.1
Cre08.g362450	Cre08.g362450.t1.2
Cre08.g385683	Cre08.g385675.t1.1
g8422	N/A
Cre08.g359567	Cre08.g359567.t2.1, Cre08.g359567.t1.2
g8786	Cre08.g373373.t1.1
Cre08.g363650	Cre08.g363650.t1.1
Cre08.g358650	Cre08.g358650.t1.1
Cre08.g369950	Cre08.g369950.t1.1
Cre08.g382000	Cre08.g381983.t2.1, Cre08.g381983.t1.1
g8988	N/A
Cre08.g384200	Cre08.g384200.t1.2
g8993	Cre08.g382250.t1.2
Cre08.g374250	Cre08.g374250.t1.1
Cre08.g383350	Cre08.g383350.t1.1
g8358	Cre08.g358542.t1.1
g8910	Cre08.g378500.t1.1
g8884	Cre08.g377251.t1.1
Cre08.g370500	Cre08.g370500.t1.1
Cre08.g359850	Cre08.g359850.t1.1
g8626	Cre08.g368150.t1.1
g8460	Cre08.g361300.t1.1
g8568	Cre08.g365692.t1.1
Cre08.g358500	Cre08.g358500.t1.2
Cre08.g368300	Cre08.g368300.t1.1
Cre08.g385800	Cre08.g385800.t1.1
Cre08.g367050	Cre08.g367050.t1.1
g8383	Cre08.g358568.t1.1
Cre08.g359600	Cre08.g359600.t1.2
Cre08.g382709	Cre08.g382716.t2.1, Cre08.g382716.t1.1
g9011	N/A
Cre08.g370300	Cre08.g370300.t1.2
Cre08.g383950	Cre08.g383950.t1.1
Cre08.g358450	Cre08.g358450.t1.2
Cre08.g358250	Cre08.g358250.t1.2
Cre08.g386050	Cre08.g386050.t1.2
g8752	Cre08.g373346.t1.1
Cre08.g360300	Cre08.g360300.t1.2
