	LEG
210	ChCC-v11031026m.g
211	ChCC-v11023137m.g
212	ChCC-v11005951m.g
213	ChCC-v11028898m.g
214	Chreiv61e012099m.g
215	ChCC-v11023145m.g
216	ChCC-v11010635m.g
217	ChCC-v11018403m.g
218	ChCC-v11035535m.g
219	ChCC-v11030699m.g
220	ChCC-v11035711m.g
221	ChCC-v11017474m.g
222	ChCC-v11021316m.g
223	ChCC-v11016677m.g
224	ChCC-v11007639m.g
225	ChCC-v11020133m.g
226	ChCC-v11031513m.g
227	ChCC-v11018397m.g
228	ChCC-v11021135m.g
229	ChCC-v11020834m.g
230	ChCC-v11020041m.g
231	ChCC-v11010422m.g
232	ChCC-v11011198m.g
233	ChCC-v11005271m.g
234	ChCC-v11027847m.g
235	ChCC-v11020956m.g
236	ChCC-v11002038m.g
237	ex.Chreiv61e010409m.g
238	ChCC-v11034037m.g
239	ChCC-v11001956m.g
240	ChCC-v11012469m.g
241	ChCC-v11023535m.g
242	ChCC-v11018652m.g
243	ChCC-v11029953m.g
244	ChCC-v11033104m.g
245	ChCC-v11026566m.g
246	ChCC-v11021625m.g
247	ChCC-v11033732m.g
248	ChCC-v11000549m.g
249	ChCC-v11010165m.g
250	ChCC-v11022709m.g
251	ChCC-v11036057m.g
252	ChCC-v11032895m.g
253	ChCC-v11008404m.g
254	ChCC-v11035527m.g
255	ChCC-v11017592m.g
256	ChCC-v11033912m.g
257	ChCC-v11034672m.g
258	ChCC-v11002243m.g
259	ChCC-v11017174m.g
260	ChCC-v11020182m.g
261	ChCC-v11009956m.g
262	ChCC-v11023900m.g
263	ChCC-v11012896m.g
264	ChCC-v11018250m.g
265	CreCp.g004400
266	ChCC-v11009267m.g
267	ChCC-v11030864m.g
268	ChCC-v11012351m.g
269	ChCC-v11020470m.g
270	ChCC-v11018543m.g
271	ChCC-v11037335m.g
272	ChCC-v11018199m.g
273	ChCC-v11030477m.g
274	ChCC-v11024766m.g
275	ChCC-v11029957m.g
276	ChCC-v11031423m.g
277	ChCC-v11001048m.g
278	ChCC-v11003342m.g
279	ChCC-v11017648m.g
280	ChCC-v11000159m.g
281	ChCC-v11020807m.g
282	ChCC-v11007035m.g
283	ChCC-v11019180m.g
284	ChCC-v11037541m.g
285	ChCC-v11028286m.g
286	ChCC-v11017799m.g
287	ChCC-v11005296m.g
288	ChCC-v11010943m.g
289	ChCC-v11034504m.g
290	ChCC-v11030245m.g
291	ChCC-v11026471m.g
292	ChCC-v11014753m.g
293	ex.Cre06.g301251.t1.1.g
294	ChCC-v11003489m.g
295	ChCC-v11009678m.g
296	ChCC-v11018135m.g
297	ChCC-v11017967m.g
298	ChCC-v11001800m.g
299	ChCC-v11007901m.g
300	ChCC-v11012618m.g
301	ChCC-v11027267m.g
302	ChCC-v11016576m.g
303	ChCC-v11028829m.g
304	ChCC-v11017464m.g
305	ChCC-v11034078m.g
306	ChCC-v11004764m.g
307	ChCC-v11029172m.g
308	CreMt.g001900
309	ChCC-v11004396m.g
310	ChCC-v11015081m.g
311	ChCC-v11034736m.g
312	ChCC-v11033988m.g
313	ChCC-v11001124m.g
314	ChCC-v11003657m.g
315	ChCC-v11003287m.g
316	ChCC-v11022786m.g
317	ChCC-v11006579m.g
318	ChCC-v11035522m.g
319	ChCC-v11010934m.g
320	ChCC-v11021098m.g
321	ChCC-v11020715m.g
322	ChCC-v11015857m.g
323	ChCC-v11033951m.g
324	ChCC-v11010069m.g
325	ChCC-v11005649m.g
326	ChCC-v11031698m.g
327	ChCC-v11003315m.g
328	ChCC-v11033805m.g
329	ChCC-v11026063m.g
330	ChCC-v11022302m.g
331	ChCC-v11020392m.g
332	ChCC-v11026960m.g
333	ChCC-v11011916m.g
334	ChCC-v11029222m.g
335	ChCC-v11022525m.g
336	ChCC-v11023810m.g
337	ChCC-v11031476m.g
338	ChCC-v11014320m.g
339	gex.Cre16.g647901.t1.1
340	ChCC-v11028487m.g
341	ChCC-v11013676m.g
342	ChCC-v11002171m.g
343	ChCC-v11031769m.g
344	ChCC-v11002692m.g
345	ChCC-v11013011m.g
346	ChCC-v11003335m.g
347	ChCC-v11000483m.g
348	ChCC-v11035682m.g
349	ChCC-v11005958m.g
350	ChCC-v11014324m.g
351	ChCC-v11034763m.g
352	ChCC-v11018278m.g
353	ChCC-v11021591m.g
354	ChCC-v11032748m.g
355	ChCC-v11032555m.g
356	ex.Cre17.g713575.t1.1.g
357	ChCC-v11011409m.g
358	ChCC-v11004761m.g
359	ChCC-v11035367m.g
360	ChCC-v11008367m.g
361	ChCC-v11024537m.g
362	ChCC-v11007225m.g
363	ChCC-v11003987m.g
364	ChCC-v11034224m.g
365	ChCC-v11007189m.g
366	ChCC-v11016280m.g
367	ChCC-v11031552m.g
368	ChCC-v11002672m.g
369	ChCC-v11010136m.g
370	ex.Chreiv61e034791m.g
371	ChCC-v11009805m.g
372	ChCC-v11008874m.g
373	ChCC-v11034348m.g
374	ex.Chreiv61e012935m.g
375	ChCC-v11035556m.g
376	ChCC-v11020394m.g
377	ChCC-v11009767m.g
378	ChCC-v11010498m.g
379	ChCC-v11021638m.g
380	ChCC-v11010340m.g
381	ChCC-v11015244m.g
382	ChCC-v11024324m.g
383	ChCC-v11029662m.g
384	ChCC-v11012747m.g
385	ChCC-v11023990m.g
386	ChCC-v11010566m.g
387	ChCC-v11001286m.g
388	ChCC-v11032739m.g
389	ChCC-v11023350m.g
390	CreCp.g002600
391	ChCC-v11015270m.g
392	ChCC-v11017159m.g
393	ChCC-v11014150m.g
394	ChCC-v11007927m.g
395	ChCC-v11002034m.g
396	ChCC-v11002459m.g
397	ChCC-v11017227m.g
398	ChCC-v11018310m.g
399	ChCC-v11005783m.g
400	ChCC-v11028139m.g
401	ChCC-v11012704m.g
402	ChCC-v11030000m.g
403	ChCC-v11030866m.g
404	ChCC-v11030179m.g
405	ChCC-v11015245m.g
406	ChCC-v11036672m.g
407	ChCC-v11015313m.g
408	ChCC-v11023629m.g
409	ChCC-v11011901m.g
