	HEG
213	ChCC-v11032928m.g
214	ChCC-v11016454m.g
215	ChCC-v11007444m.g
216	ChCC-v11014248m.g
217	ChCC-v11019232m.g
218	ChCC-v11018914m.g
219	ChCC-v11030779m.g
220	ChCC-v11001034m.g
221	ChCC-v11007517m.g
222	ChCC-v11020312m.g
223	ChCC-v11013387m.g
224	ChCC-v11019998m.g
225	ChCC-v11010547m.g
226	ChCC-v11011473m.g
227	ChCC-v11033207m.g
228	ChCC-v11030467m.g
229	ChCC-v11016465m.g
230	ChCC-v11026829m.g
231	ChCC-v11033479m.g
232	ChCC-v11015707m.g
233	ChCC-v11007995m.g
234	ChCC-v11036282m.g
235	ChCC-v11025149m.g
236	ChCC-v11009115m.g
237	ChCC-v11007425m.g
238	ChCC-v11014791m.g
239	ChCC-v11028533m.g
240	ChCC-v11009168m.g
241	ChCC-v11014971m.g
242	ChCC-v11001717m.g
243	ChCC-v11032408m.g
244	ChCC-v11013924m.g
245	ChCC-v11011575m.g
246	ChCC-v11007174m.g
247	ChCC-v11035474m.g
248	ChCC-v11021819m.g
249	ChCC-v11014169m.g
250	ChCC-v11006236m.g
251	ChCC-v11013339m.g
252	ChCC-v11014725m.g
253	ChCC-v11006364m.g
254	ChCC-v11000830m.g
255	ChCC-v11009950m.g
256	ChCC-v11013962m.g
257	ChCC-v11011008m.g
258	ChCC-v11036499m.g
259	ChCC-v11019498m.g
260	ChCC-v11008836m.g
261	ChCC-v11005329m.g
262	ChCC-v11004987m.g
263	ChCC-v11003707m.g
264	ChCC-v11015100m.g
265	ChCC-v11005992m.g
266	ChCC-v11013275m.g
267	ChCC-v11034490m.g
268	ChCC-v11026416m.g
269	ChCC-v11036815m.g
270	ChCC-v11001446m.g
271	ChCC-v11006309m.g
272	ChCC-v11024790m.g
273	ChCC-v11029175m.g
274	ChCC-v11017673m.g
275	ChCC-v11013479m.g
276	ChCC-v11016995m.g
277	ChCC-v11006827m.g
278	ChCC-v11026123m.g
279	ChCC-v11027349m.g
280	ChCC-v11008434m.g
281	ChCC-v11035302m.g
282	ChCC-v11003930m.g
283	ChCC-v11012623m.g
284	ChCC-v11035841m.g
285	ChCC-v11024881m.g
286	ChCC-v11028327m.g
287	ChCC-v11003990m.g
288	ChCC-v11014271m.g
289	ChCC-v11005185m.g
290	ChCC-v11006734m.g
291	ChCC-v11031019m.g
292	ChCC-v11034982m.g
293	ChCC-v11005189m.g
294	ChCC-v11018326m.g
295	ChCC-v11009906m.g
296	ChCC-v11019249m.g
297	ChCC-v11032278m.g
298	ChCC-v11019847m.g
299	ChCC-v11008113m.g
300	ChCC-v11002811m.g
301	ChCC-v11003702m.g
302	ChCC-v11012933m.g
303	ChCC-v11003988m.g
