CC2344-L1,CC2344-L2,CC2344-L3,CC2344-L4,CC2344-L5,CC2344-L6,CC2344-L7,CC2344-L8,CC2344-L9,CC2344-L10,CC2344-L11,CC2344-L12,CC2344-L13,CC2344-L14,CC2344-L15,CC2931-L1,CC2931-L2,CC2931-L3,CC2931-L4,CC2931-L5,CC2931-L6,CC2931-L7,CC2931-L9,CC2931-L10,CC2931-L11,CC2931-L13,CC2931-L14,CC2931-L15
CHLRE_01G002900V5,CHLRE_01G052500V5,CHLRE_12G523400V5,CHLRE_01G002750V5,CHLRE_02G091193V5,CHLRE_01G004750V5,CHLRE_18G748297V5,CHLRE_06G271188V5,CHLRE_01G001983V5,CHLRE_01G011600V5,CHLRE_01G001300V5,CHLRE_01G005550V5,CHLRE_10G455000V5,CHLRE_03G188750V5,CHLRE_01G002100V5,5722886.0,5719388.0,5717780.0,5727190.0,5724669.0,5729267.0,5718832.0,5721965.0,5720555.0,5723086.0,5719654.0,5721826.0,5716065.0
CHLRE_01G003500V5,CHLRE_01G052800V5,CHLRE_13G569300V5,CHLRE_01G003050V5,CHLRE_02G116700V5,CHLRE_01G004950V5,CHLRE_09G395213V5,CHLRE_07G342350V5,CHLRE_01G002050V5,CHLRE_01G012450V5,CHLRE_01G001700V5,CHLRE_01G005651V5,CHLRE_10G465000V5,CHLRE_03G190250V5,CHLRE_01G002150V5,5718091.0,5715343.0,5722804.0,5726308.0,5728769.0,5727024.0,5725966.0,5721969.0,5716581.0,5724287.0,5727672.0,5724739.0,5726776.0
CHLRE_01G003550V5,CHLRE_01G055444V5,CHLRE_13G585350V5,CHLRE_01G004157V5,CHLRE_09G387097V5,CHLRE_01G005050V5,CHLRE_09G401071V5,CHLRE_08G369150V5,CHLRE_01G002100V5,CHLRE_01G014050V5,CHLRE_01G001983V5,CHLRE_01G006800V5,CHLRE_12G529301V5,CHLRE_03G204577V5,CHLRE_01G002227V5,5722605.0,5722467.0,5717023.0,5726378.0,5720494.0,5715602.0,5717933.0,5719181.0,5724038.0,5721826.0,5728096.0,5722445.0,5719614.0
CHLRE_01G004157V5,CHLRE_02G073900V5,CHLRE_13G585450V5,CHLRE_01G004900V5,CHLRE_02G144750V5,CHLRE_01G005651V5,CHLRE_10G464133V5,CHLRE_08G374250V5,CHLRE_01G002227V5,CHLRE_01G014850V5,CHLRE_01G002350V5,CHLRE_01G006850V5,CHLRE_12G529350V5,CHLRE_04G223300V5,CHLRE_01G002350V5,5722693.0,5726239.0,5723462.0,5727640.0,5715452.0,5723627.0,5725960.0,5722514.0,5719730.0,5719614.0,5724716.0,5722405.0,5722605.0
CHLRE_01G004200V5,CHLRE_02G076150V5,CHLRE_13G585500V5,CHLRE_01G005651V5,CHLRE_03G145187V5,CHLRE_01G006950V5,CHLRE_02G095087V5,CHLRE_09G395213V5,CHLRE_01G002300V5,CHLRE_01G015050V5,CHLRE_01G002600V5,CHLRE_01G007950V5,CHLRE_12G543301V5,CHLRE_05G233304V5,CHLRE_01G002500V5,5720189.0,5715872.0,5716664.0,5727556.0,5715872.0,5721826.0,5722171.0,5720485.0,5722436.0,5722693.0,5718313.0,5722173.0,5718755.0
CHLRE_01G004250V5,CHLRE_02G079500V5,CHLRE_14G617500V5,CHLRE_01G005813V5,CHLRE_03G148500V5,CHLRE_01G007050V5,CHLRE_12G523400V5,CHLRE_09G399663V5,CHLRE_01G002350V5,CHLRE_01G015600V5,CHLRE_01G002750V5,CHLRE_01G009000V5,CHLRE_13G588271V5,CHLRE_06G289900V5,CHLRE_01G003050V5,5724629.0,5728847.0,5721713.0,5718627.0,5728384.0,5723931.0,5726850.0,5719651.0,5724826.0,5728017.0,5726824.0,5725276.0,5722173.0
CHLRE_01G004651V5,CHLRE_02G080300V5,CHLRE_14G617550V5,CHLRE_01G006150V5,CHLRE_03G152650V5,CHLRE_01G007737V5,CHLRE_14G614100V5,CHLRE_10G427750V5,CHLRE_01G002500V5,CHLRE_01G015650V5,CHLRE_01G002900V5,CHLRE_01G009200V5,CHLRE_13G605200V5,CHLRE_06G298650V5,CHLRE_01G003100V5,5717701.0,5722671.0,5716724.0,5719116.0,5720467.0,5716716.0,5722514.0,5715932.0,5722580.0,5715546.0,5722818.0,5725027.0,5720934.0
CHLRE_01G004900V5,CHLRE_02G084300V5,CHLRE_14G617600V5,CHLRE_01G007150V5,CHLRE_03G163000V5,CHLRE_01G007901V5,CHLRE_15G636450V5,CHLRE_10G444100V5,CHLRE_01G002550V5,CHLRE_01G016600V5,CHLRE_01G003450V5,CHLRE_01G009650V5,CHLRE_15G634650V5,CHLRE_07G334750V5,CHLRE_01G003500V5,5718755.0,5720755.0,5727162.0,5721453.0,5719654.0,5721742.0,5716664.0,5723417.0,5717691.0,5722926.0,5715851.0,5723038.0,5727190.0
CHLRE_01G005651V5,CHLRE_02G089500V5,CHLRE_14G617650V5,CHLRE_01G007400V5,CHLRE_03G169000V5,CHLRE_01G008051V5,CHLRE_16G672161V5,CHLRE_10G464900V5,CHLRE_01G002600V5,CHLRE_01G017150V5,CHLRE_01G003487V5,CHLRE_01G009950V5,CHLRE_15G634750V5,CHLRE_07G342552V5,CHLRE_01G003800V5,5715904.0,5727512.0,5728383.0,5728321.0,5719232.0,5723665.0,5726845.0,5719498.0,5726778.0,5726770.0,5718639.0,5719716.0,5726378.0
CHLRE_01G006800V5,CHLRE_02G093500V5,CHLRE_14G617700V5,CHLRE_01G007450V5,CHLRE_03G169050V5,CHLRE_01G009200V5,CHLRE_16G676757V5,CHLRE_11G467785V5,CHLRE_01G003050V5,CHLRE_01G017600V5,CHLRE_01G003500V5,CHLRE_01G011300V5,CHLRE_15G636300V5,CHLRE_07G354350V5,CHLRE_01G003950V5,5720934.0,5727995.0,5717231.0,5720874.0,5728166.0,5722686.0,5715097.0,5720499.0,5722017.0,5722946.0,5718644.0,5727919.0,5723558.0
