CC2931-L1,CC2931-L2,CC2931-L3,CC2931-L4,CC2931-L5,CC2931-L6,CC2931-L7,CC2931-L9,CC2931-L10,CC2931-L11,CC2931-L13,CC2931-L14,CC2931-L15
CHLRE_03G157250V5,CHLRE_09G400200V5,,CHLRE_05G244150V5,CHLRE_05G243353V5,CHLRE_02G115508V5,,,,CHLRE_03G155700V5,CHLRE_10G417550V5,CHLRE_02G108450V5,CHLRE_02G092076V5
CHLRE_03G157650V5,CHLRE_09G400150V5,,CHLRE_05G244300V5,CHLRE_05G244900V5,CHLRE_02G115950V5,,,,CHLRE_03G155750V5,CHLRE_10G421600V5,CHLRE_02G109366V5,CHLRE_02G092150V5
CHLRE_03G157900V5,CHLRE_09G399912V5,,CHLRE_05G244550V5,CHLRE_05G247600V5,CHLRE_02G116050V5,,,,CHLRE_03G155850V5,CHLRE_10G422500V5,CHLRE_02G110400V5,CHLRE_02G092700V5
CHLRE_03G158150V5,CHLRE_09G399551V5,,CHLRE_05G244700V5,CHLRE_05G247900V5,CHLRE_02G116200V5,,,,CHLRE_03G156050V5,CHLRE_10G425450V5,CHLRE_02G111150V5,CHLRE_02G093350V5
CHLRE_03G159300V5,CHLRE_09G399350V5,,CHLRE_05G246800V5,CHLRE_05G234647V5,CHLRE_02G116450V5,,,,CHLRE_03G156850V5,CHLRE_10G426292V5,CHLRE_02G111500V5,CHLRE_02G093750V5
CHLRE_03G160100V5,CHLRE_09G396500V5,,CHLRE_05G247900V5,CHLRE_05G234655V5,CHLRE_02G116650V5,,,,CHLRE_03G156950V5,CHLRE_10G426450V5,CHLRE_02G111800V5,CHLRE_02G093900V5
CHLRE_03G160250V5,CHLRE_09G392400V5,,CHLRE_05G248300V5,CHLRE_05G234661V5,CHLRE_02G117050V5,,,,CHLRE_03G157100V5,CHLRE_10G428966V5,CHLRE_02G112250V5,CHLRE_02G093950V5
CHLRE_03G160300V5,CHLRE_09G391700V5,,CHLRE_05G241635V5,CHLRE_05G234665V5,CHLRE_02G117700V5,,,,CHLRE_03G157200V5,CHLRE_10G429000V5,CHLRE_02G114600V5,CHLRE_02G094200V5
CHLRE_03G160650V5,CHLRE_09G394473V5,,CHLRE_05G234638V5,CHLRE_05G235750V5,CHLRE_02G117813V5,,,,CHLRE_03G157400V5,CHLRE_10G430300V5,CHLRE_02G114750V5,CHLRE_02G094250V5
CHLRE_03G160850V5,CHLRE_09G395954V5,,CHLRE_05G234661V5,CHLRE_05G235900V5,CHLRE_02G118250V5,,,,CHLRE_03G157700V5,CHLRE_10G430850V5,CHLRE_02G114900V5,CHLRE_02G094350V5
CHLRE_03G161900V5,CHLRE_09G396809V5,,CHLRE_05G235850V5,CHLRE_05G236039V5,CHLRE_02G118350V5,,,,CHLRE_03G158200V5,CHLRE_10G431400V5,CHLRE_02G115050V5,CHLRE_02G094700V5
CHLRE_03G161950V5,CHLRE_09G399812V5,,CHLRE_05G235900V5,CHLRE_05G237750V5,CHLRE_02G119050V5,,,,CHLRE_03G159016V5,CHLRE_10G431850V5,CHLRE_02G116250V5,CHLRE_02G095500V5
CHLRE_03G162550V5,CHLRE_09G400516V5,,CHLRE_05G237000V5,CHLRE_05G237950V5,CHLRE_02G120150V5,,,,CHLRE_03G160250V5,CHLRE_10G435300V5,CHLRE_02G116500V5,CHLRE_02G095900V5
CHLRE_03G162650V5,CHLRE_09G400590V5,,CHLRE_05G237400V5,CHLRE_05G238100V5,CHLRE_09G386800V5,,,,CHLRE_03G160700V5,CHLRE_10G438250V5,CHLRE_02G116700V5,CHLRE_02G096200V5
CHLRE_03G163950V5,CHLRE_09G401663V5,,CHLRE_05G238311V5,CHLRE_05G238290V5,CHLRE_09G386950V5,,,,CHLRE_03G162100V5,CHLRE_10G438400V5,CHLRE_02G116950V5,CHLRE_02G096250V5
CHLRE_03G164050V5,CHLRE_09G406600V5,,CHLRE_05G238500V5,CHLRE_05G238311V5,CHLRE_09G387050V5,,,,CHLRE_03G162601V5,CHLRE_10G438450V5,CHLRE_02G117650V5,CHLRE_02G096500V5
CHLRE_03G165186V5,CHLRE_09G407350V5,,CHLRE_05G239450V5,CHLRE_05G238343V5,CHLRE_09G387550V5,,,,CHLRE_03G162701V5,CHLRE_10G440200V5,CHLRE_02G117700V5,CHLRE_02G096800V5
CHLRE_03G165900V5,CHLRE_09G407700V5,,CHLRE_05G239550V5,CHLRE_05G238850V5,CHLRE_09G387700V5,,,,CHLRE_03G163050V5,CHLRE_10G440250V5,CHLRE_02G118200V5,CHLRE_02G096850V5
CHLRE_03G166700V5,CHLRE_09G409000V5,,CHLRE_05G239700V5,CHLRE_05G239250V5,CHLRE_09G387800V5,,,,CHLRE_03G163600V5,CHLRE_10G446500V5,CHLRE_02G118700V5,CHLRE_02G097300V5
CHLRE_03G166750V5,CHLRE_09G412050V5,,CHLRE_05G239750V5,CHLRE_05G240600V5,CHLRE_09G388150V5,,,,CHLRE_03G163800V5,CHLRE_10G447900V5,CHLRE_02G119050V5,CHLRE_02G097450V5
CHLRE_03G167101V5,CHLRE_09G412150V5,,CHLRE_05G239800V5,CHLRE_05G241500V5,CHLRE_09G388355V5,,,,CHLRE_03G164550V5,CHLRE_10G448450V5,CHLRE_02G119900V5,CHLRE_02G098150V5
CHLRE_03G167200V5,CHLRE_09G412550V5,,CHLRE_05G240800V5,CHLRE_05G230850V5,CHLRE_09G388351V5,,,,CHLRE_03G164700V5,CHLRE_10G448500V5,CHLRE_02G119950V5,CHLRE_02G098300V5
CHLRE_03G168050V5,CHLRE_10G417750V5,,CHLRE_05G241450V5,CHLRE_05G231000V5,CHLRE_09G388350V5,,,,CHLRE_03G165450V5,CHLRE_10G449000V5,CHLRE_02G120050V5,CHLRE_02G098350V5
CHLRE_03G168150V5,CHLRE_10G418600V5,,CHLRE_05G232050V5,CHLRE_24G755897V5,CHLRE_09G388372V5,,,,CHLRE_03G166050V5,CHLRE_10G450800V5,CHLRE_02G120250V5,CHLRE_02G098550V5
CHLRE_50G761497V5,CHLRE_10G419150V5,,CHLRE_05G232500V5,CHLRE_05G233100V5,CHLRE_09G388800V5,,,,CHLRE_03G167050V5,CHLRE_10G450950V5,CHLRE_09G386850V5,CHLRE_02G099300V5
CHLRE_03G168750V5,CHLRE_10G422100V5,,CHLRE_06G249350V5,CHLRE_05G233350V5,CHLRE_09G388850V5,,,,CHLRE_03G167250V5,CHLRE_10G451200V5,CHLRE_09G386900V5,CHLRE_02G099550V5
CHLRE_03G169250V5,CHLRE_10G423400V5,,CHLRE_06G249500V5,CHLRE_05G233551V5,CHLRE_09G388900V5,,,,CHLRE_03G168550V5,CHLRE_10G451400V5,CHLRE_09G387350V5,CHLRE_02G100100V5
CHLRE_03G169800V5,CHLRE_10G423650V5,,CHLRE_06G249950V5,CHLRE_06G249050V5,CHLRE_09G389000V5,,,,CHLRE_03G168900V5,CHLRE_10G453766V5,CHLRE_09G387450V5,CHLRE_02G100450V5
CHLRE_03G170001V5,CHLRE_10G426450V5,,CHLRE_06G250500V5,CHLRE_06G249400V5,CHLRE_09G389050V5,,,,CHLRE_03G169100V5,CHLRE_10G456600V5,CHLRE_09G387700V5,CHLRE_02G100633V5
CHLRE_03G170050V5,CHLRE_10G428750V5,,CHLRE_06G252800V5,CHLRE_06G249800V5,CHLRE_09G389089V5,,,,CHLRE_03G169900V5,CHLRE_10G457050V5,CHLRE_09G388200V5,CHLRE_02G100850V5
CHLRE_03G170601V5,CHLRE_10G428966V5,,CHLRE_06G252550V5,CHLRE_06G252800V5,CHLRE_09G389850V5,,,,CHLRE_03G170050V5,CHLRE_10G458626V5,CHLRE_09G388800V5,CHLRE_02G101150V5
CHLRE_03G170800V5,CHLRE_10G429000V5,,CHLRE_06G255100V5,CHLRE_06G254800V5,CHLRE_09G390100V5,,,,CHLRE_03G170300V5,CHLRE_10G458850V5,CHLRE_09G389000V5,CHLRE_02G101700V5
CHLRE_03G170850V5,CHLRE_10G430850V5,,CHLRE_06G256500V5,CHLRE_06G256420V5,CHLRE_09G387504V5,,,,CHLRE_03G170350V5,CHLRE_10G458900V5,CHLRE_09G389050V5,CHLRE_02G103150V5
CHLRE_03G171350V5,CHLRE_10G431000V5,,CHLRE_06G257250V5,CHLRE_06G256750V5,CHLRE_09G387949V5,,,,CHLRE_03G170600V5,CHLRE_10G459700V5,CHLRE_09G389900V5,CHLRE_02G103500V5
CHLRE_03G172322V5,CHLRE_10G431400V5,,CHLRE_06G257300V5,CHLRE_06G258200V5,CHLRE_09G388134V5,,,,CHLRE_03G171250V5,CHLRE_10G460600V5,CHLRE_09G390100V5,CHLRE_02G103900V5
CHLRE_03G172350V5,CHLRE_10G432900V5,,CHLRE_06G257850V5,CHLRE_06G258350V5,CHLRE_09G388208V5,,,,CHLRE_03G171550V5,CHLRE_10G460700V5,CHLRE_09G387430V5,CHLRE_02G104150V5
CHLRE_03G172400V5,CHLRE_10G438700V5,,CHLRE_06G258100V5,CHLRE_06G258550V5,CHLRE_09G389208V5,,,,CHLRE_03G172322V5,CHLRE_10G461350V5,CHLRE_09G387912V5,CHLRE_02G104300V5
CHLRE_03G172500V5,CHLRE_10G438850V5,,CHLRE_06G258550V5,CHLRE_06G260000V5,CHLRE_09G389356V5,,,,CHLRE_03G172500V5,CHLRE_10G463900V5,CHLRE_09G388060V5,CHLRE_02G104700V5
CHLRE_03G172700V5,CHLRE_10G439450V5,,CHLRE_06G260150V5,CHLRE_06G261026V5,CHLRE_09G389726V5,,,,CHLRE_03G174200V5,CHLRE_10G464200V5,CHLRE_09G388097V5,CHLRE_02G105250V5
CHLRE_03G172750V5,CHLRE_10G440250V5,,CHLRE_06G260200V5,CHLRE_06G261300V5,CHLRE_09G389875V5,,,,CHLRE_03G174300V5,CHLRE_11G467524V5,CHLRE_09G388986V5,CHLRE_02G105550V5
CHLRE_03G173550V5,CHLRE_10G440700V5,,CHLRE_06G260450V5,CHLRE_06G263200V5,CHLRE_09G390134V5,,,,CHLRE_03G174500V5,CHLRE_11G467525V5,CHLRE_09G389208V5,CHLRE_02G106200V5
CHLRE_03G173700V5,CHLRE_10G441750V5,,CHLRE_06G261900V5,CHLRE_06G264450V5,CHLRE_09G390356V5,,,,CHLRE_03G174750V5,CHLRE_11G467526V5,CHLRE_09G390023V5,CHLRE_02G107000V5
CHLRE_03G173950V5,CHLRE_10G445050V5,,CHLRE_06G263200V5,CHLRE_06G266000V5,CHLRE_09G390467V5,,,,CHLRE_03G175800V5,CHLRE_11G467527V5,CHLRE_09G390171V5,CHLRE_02G107450V5
CHLRE_03G174200V5,CHLRE_10G445850V5,,CHLRE_06G263289V5,CHLRE_06G266052V5,CHLRE_09G390541V5,,,,CHLRE_03G175851V5,CHLRE_11G467535V5,CHLRE_09G390356V5,CHLRE_02G107650V5
CHLRE_03G174400V5,CHLRE_10G448450V5,,CHLRE_06G263950V5,CHLRE_06G266350V5,CHLRE_09G390875V5,,,,CHLRE_03G176450V5,CHLRE_11G467584V5,CHLRE_09G390578V5,CHLRE_02G108000V5
CHLRE_03G174600V5,CHLRE_10G448950V5,,CHLRE_06G265150V5,CHLRE_06G268501V5,CHLRE_09G390949V5,,,,CHLRE_03G176500V5,CHLRE_11G467601V5,CHLRE_09G390949V5,CHLRE_02G109750V5
CHLRE_03G174750V5,CHLRE_10G449150V5,,CHLRE_06G268750V5,CHLRE_06G269601V5,CHLRE_09G390986V5,,,,CHLRE_03G177053V5,CHLRE_11G467617V5,CHLRE_09G391726V5,CHLRE_02G109950V5
CHLRE_03G175800V5,CHLRE_10G450950V5,,CHLRE_06G269150V5,CHLRE_06G270400V5,CHLRE_09G391208V5,,,,CHLRE_03G177600V5,CHLRE_11G467658V5,CHLRE_09G391801V5,CHLRE_02G110300V5
CHLRE_03G175851V5,CHLRE_10G452400V5,,CHLRE_06G271400V5,CHLRE_06G270750V5,CHLRE_09G391615V5,,,,CHLRE_03G178000V5,CHLRE_11G467693V5,CHLRE_09G391986V5,CHLRE_02G110450V5
CHLRE_03G176050V5,CHLRE_10G452600V5,,CHLRE_06G272400V5,CHLRE_06G272000V5,CHLRE_09G391801V5,,,,CHLRE_03G178400V5,CHLRE_11G467780V5,CHLRE_09G392023V5,CHLRE_02G110700V5
CHLRE_03G176500V5,CHLRE_10G453807V5,,CHLRE_06G273650V5,CHLRE_06G272750V5,CHLRE_09G391838V5,,,,CHLRE_03G179400V5,CHLRE_11G467737V5,CHLRE_09G392171V5,CHLRE_02G110900V5
CHLRE_03G176833V5,CHLRE_10G454700V5,,CHLRE_06G275000V5,CHLRE_06G272760V5,CHLRE_09G391875V5,,,,CHLRE_03G180017V5,CHLRE_02G095080V5,CHLRE_09G392208V5,CHLRE_02G111014V5
CHLRE_03G176866V5,CHLRE_10G458100V5,,CHLRE_06G275900V5,CHLRE_06G273250V5,CHLRE_09G392393V5,,,,CHLRE_03G180450V5,CHLRE_02G095076V5,CHLRE_09G392356V5,CHLRE_02G111750V5
CHLRE_03G176900V5,CHLRE_10G459600V5,,CHLRE_06G277400V5,CHLRE_06G275000V5,CHLRE_09G392542V5,,,,CHLRE_03G181800V5,CHLRE_11G475500V5,CHLRE_02G147800V5,CHLRE_02G111900V5
CHLRE_03G177250V5,CHLRE_10G461000V5,,CHLRE_06G278095V5,CHLRE_06G275500V5,CHLRE_09G387023V5,,,,CHLRE_03G182100V5,CHLRE_11G475550V5,CHLRE_02G147700V5,CHLRE_02G112150V5
CHLRE_03G177300V5,CHLRE_10G463250V5,,CHLRE_06G278118V5,CHLRE_06G277400V5,CHLRE_02G147900V5,,,,CHLRE_03G182400V5,CHLRE_11G475650V5,CHLRE_02G147301V5,CHLRE_02G112250V5
CHLRE_03G177600V5,CHLRE_10G466250V5,,CHLRE_06G278158V5,CHLRE_06G278092V5,CHLRE_02G147450V5,,,,CHLRE_03G183100V5,CHLRE_11G478100V5,CHLRE_02G147302V5,CHLRE_02G112333V5
CHLRE_03G178400V5,CHLRE_10G466500V5,,CHLRE_06G278164V5,CHLRE_06G278095V5,CHLRE_02G147350V5,,,,CHLRE_03G184800V5,CHLRE_11G480200V5,CHLRE_02G147150V5,CHLRE_02G112701V5
CHLRE_03G179050V5,CHLRE_10G467150V5,,CHLRE_06G278209V5,CHLRE_06G278101V5,CHLRE_02G147301V5,,,,CHLRE_03G185300V5,CHLRE_11G481400V5,CHLRE_02G146700V5,CHLRE_02G112850V5
CHLRE_03G179820V5,CHLRE_11G467535V5,,CHLRE_06G278216V5,CHLRE_06G278117V5,CHLRE_02G147150V5,,,,CHLRE_03G185500V5,CHLRE_11G482050V5,CHLRE_02G146650V5,CHLRE_02G113000V5
CHLRE_03G179961V5,CHLRE_11G467593V5,,CHLRE_06G278247V5,CHLRE_06G278141V5,CHLRE_02G147050V5,,,,CHLRE_03G186650V5,CHLRE_12G495401V5,CHLRE_02G146150V5,CHLRE_02G113450V5
CHLRE_03G180100V5,CHLRE_11G467601V5,,CHLRE_06G278248V5,CHLRE_06G278146V5,CHLRE_02G146950V5,,,,CHLRE_03G187000V5,CHLRE_12G494950V5,CHLRE_02G146000V5,CHLRE_02G113600V5
CHLRE_03G180200V5,CHLRE_11G467615V5,,CHLRE_06G279100V5,CHLRE_06G278149V5,CHLRE_02G146851V5,,,,CHLRE_03G187300V5,CHLRE_12G494300V5,CHLRE_02G145250V5,CHLRE_02G114001V5
CHLRE_03G180450V5,CHLRE_11G467693V5,,CHLRE_06G280750V5,CHLRE_06G278153V5,CHLRE_02G146450V5,,,,CHLRE_03G188850V5,CHLRE_12G494150V5,CHLRE_02G144700V5,CHLRE_02G114800V5
CHLRE_03G180500V5,CHLRE_11G468400V5,,CHLRE_06G281000V5,CHLRE_06G278166V5,CHLRE_02G146300V5,,,,CHLRE_03G189000V5,CHLRE_12G493350V5,CHLRE_02G144350V5,CHLRE_02G115050V5
CHLRE_03G180700V5,CHLRE_11G468050V5,,CHLRE_06G281250V5,CHLRE_06G278181V5,CHLRE_02G146050V5,,,,CHLRE_03G189300V5,CHLRE_12G491952V5,CHLRE_02G143861V5,CHLRE_02G115500V5
CHLRE_03G181300V5,CHLRE_11G467765V5,,CHLRE_06G281300V5,CHLRE_06G278187V5,CHLRE_02G145850V5,,,,CHLRE_03G189350V5,CHLRE_12G490200V5,CHLRE_02G143200V5,CHLRE_02G115600V5
CHLRE_03G181400V5,CHLRE_11G467730V5,,CHLRE_06G286200V5,CHLRE_06G278214V5,CHLRE_02G145800V5,,,,CHLRE_03G189400V5,CHLRE_12G489850V5,CHLRE_02G143052V5,CHLRE_02G115800V5
CHLRE_03G181500V5,CHLRE_02G095111V5,,CHLRE_06G286250V5,CHLRE_06G278215V5,CHLRE_02G145750V5,,,,CHLRE_03G189500V5,CHLRE_12G489200V5,CHLRE_02G142200V5,CHLRE_02G115900V5
CHLRE_03G183150V5,CHLRE_11G474950V5,,CHLRE_06G286850V5,CHLRE_06G278239V5,CHLRE_02G145450V5,,,,CHLRE_03G190000V5,CHLRE_12G488450V5,CHLRE_02G142150V5,CHLRE_02G116450V5
CHLRE_03G183300V5,CHLRE_11G475500V5,,CHLRE_06G287300V5,CHLRE_06G278259V5,CHLRE_02G145350V5,,,,CHLRE_03G190950V5,CHLRE_12G488351V5,CHLRE_02G142000V5,CHLRE_02G116500V5
CHLRE_03G183350V5,CHLRE_11G478100V5,,CHLRE_06G289150V5,CHLRE_06G278250V5,CHLRE_02G145300V5,,,,CHLRE_03G191300V5,CHLRE_12G487650V5,CHLRE_02G141701V5,CHLRE_02G116550V5
CHLRE_03G183850V5,CHLRE_11G478528V5,,CHLRE_06G290500V5,CHLRE_06G279950V5,CHLRE_02G145100V5,,,,CHLRE_03G193000V5,CHLRE_12G487601V5,CHLRE_02G141100V5,CHLRE_02G116900V5
CHLRE_03G184000V5,CHLRE_11G478950V5,,CHLRE_06G290550V5,CHLRE_06G281650V5,CHLRE_02G144600V5,,,,CHLRE_03G193950V5,CHLRE_12G486750V5,CHLRE_03G143807V5,CHLRE_02G117000V5
CHLRE_03G184300V5,CHLRE_12G484100V5,,CHLRE_06G291250V5,CHLRE_06G281750V5,CHLRE_02G144400V5,,,,CHLRE_03G194450V5,CHLRE_12G511650V5,CHLRE_03G143887V5,CHLRE_02G117950V5
CHLRE_03G184500V5,CHLRE_12G485250V5,,CHLRE_06G292000V5,CHLRE_06G281766V5,CHLRE_02G144005V5,,,,CHLRE_03G195100V5,CHLRE_12G510252V5,CHLRE_03G144164V5,CHLRE_02G118125V5
CHLRE_03G184550V5,CHLRE_12G495100V5,,CHLRE_06G294000V5,CHLRE_06G282651V5,CHLRE_02G143650V5,,,,CHLRE_03G195200V5,CHLRE_12G508852V5,CHLRE_03G144304V5,CHLRE_02G118450V5
CHLRE_03G184600V5,CHLRE_12G494650V5,,CHLRE_06G295100V5,CHLRE_06G282850V5,CHLRE_02G143635V5,,,,CHLRE_03G195600V5,CHLRE_12G507051V5,CHLRE_03G144504V5,CHLRE_02G119150V5
CHLRE_03G184850V5,CHLRE_12G494300V5,,CHLRE_06G297300V5,CHLRE_06G283000V5,CHLRE_02G142950V5,,,,CHLRE_03G195650V5,CHLRE_12G506850V5,CHLRE_03G144687V5,CHLRE_02G119600V5
CHLRE_03G185200V5,CHLRE_12G493650V5,,CHLRE_06G297650V5,CHLRE_06G283600V5,CHLRE_02G142700V5,,,,CHLRE_03G195850V5,CHLRE_12G505050V5,CHLRE_03G144727V5,CHLRE_02G119850V5
CHLRE_03G187000V5,CHLRE_12G489200V5,,CHLRE_06G297900V5,CHLRE_06G284850V5,CHLRE_02G141900V5,,,,CHLRE_03G196350V5,CHLRE_12G503200V5,CHLRE_03G145667V5,CHLRE_02G119950V5
CHLRE_03G187250V5,CHLRE_12G512250V5,,CHLRE_06G298000V5,CHLRE_06G285050V5,CHLRE_02G141500V5,,,,CHLRE_03G196950V5,CHLRE_12G502900V5,CHLRE_03G145767V5,CHLRE_09G387450V5
CHLRE_03G187300V5,CHLRE_12G512200V5,,CHLRE_06G298100V5,CHLRE_06G285350V5,CHLRE_03G143947V5,,,,CHLRE_03G197300V5,CHLRE_12G501050V5,CHLRE_03G145947V5,CHLRE_09G387700V5
CHLRE_03G187500V5,CHLRE_12G509700V5,,CHLRE_06G298550V5,CHLRE_06G287550V5,CHLRE_03G143967V5,,,,CHLRE_03G197400V5,CHLRE_12G500950V5,CHLRE_03G145967V5,CHLRE_09G387950V5
CHLRE_03G189000V5,CHLRE_12G509500V5,,CHLRE_06G299800V5,CHLRE_06G288100V5,CHLRE_03G143987V5,,,,CHLRE_03G197850V5,CHLRE_12G499300V5,CHLRE_03G146187V5,CHLRE_09G388150V5
CHLRE_03G189350V5,CHLRE_12G509400V5,,CHLRE_06G299900V5,CHLRE_06G288600V5,CHLRE_03G144084V5,,,,CHLRE_03G208050V5,CHLRE_12G499250V5,CHLRE_03G146287V5,CHLRE_09G388600V5
CHLRE_03G189650V5,CHLRE_12G507500V5,,CHLRE_06G300050V5,CHLRE_06G289000V5,CHLRE_03G144124V5,,,,CHLRE_03G207550V5,CHLRE_12G499200V5,CHLRE_03G146587V5,CHLRE_09G388700V5
CHLRE_03G189700V5,CHLRE_12G507150V5,,CHLRE_06G300450V5,CHLRE_06G289750V5,CHLRE_03G144164V5,,,,CHLRE_03G206800V5,CHLRE_12G499205V5,CHLRE_03G146867V5,CHLRE_09G389000V5
CHLRE_03G192100V5,CHLRE_12G506850V5,,CHLRE_06G301550V5,CHLRE_06G289800V5,CHLRE_03G144224V5,,,,CHLRE_03G206600V5,CHLRE_12G499150V5,CHLRE_03G148150V5,CHLRE_09G389250V5
CHLRE_03G192750V5,CHLRE_12G506851V5,,CHLRE_06G302200V5,CHLRE_06G292850V5,CHLRE_03G144284V5,,,,CHLRE_03G206550V5,CHLRE_12G497652V5,CHLRE_03G149050V5,CHLRE_09G389350V5
CHLRE_03G193200V5,CHLRE_12G505100V5,,CHLRE_06G302250V5,CHLRE_06G293100V5,CHLRE_03G144424V5,,,,CHLRE_03G206450V5,CHLRE_12G512950V5,CHLRE_03G149250V5,CHLRE_09G389650V5
CHLRE_03G193250V5,CHLRE_12G505050V5,,CHLRE_06G302600V5,CHLRE_06G293300V5,CHLRE_03G144504V5,,,,CHLRE_03G204650V5,CHLRE_12G513400V5,CHLRE_03G149350V5,CHLRE_09G389850V5
CHLRE_03G193450V5,CHLRE_12G504950V5,,CHLRE_06G304700V5,CHLRE_06G293750V5,CHLRE_03G144687V5,,,,CHLRE_03G204350V5,CHLRE_12G513450V5,CHLRE_03G149500V5,CHLRE_09G389900V5
CHLRE_03G193850V5,CHLRE_12G504900V5,,CHLRE_06G304913V5,CHLRE_06G293800V5,CHLRE_03G144787V5,,,,CHLRE_03G203800V5,CHLRE_12G521100V5,CHLRE_03G151000V5,CHLRE_09G387393V5
CHLRE_03G194000V5,CHLRE_12G503100V5,,CHLRE_06G305650V5,CHLRE_06G294050V5,CHLRE_03G145207V5,,,,CHLRE_03G203730V5,CHLRE_12G521550V5,CHLRE_03G151250V5,CHLRE_09G387430V5
CHLRE_03G194050V5,CHLRE_12G501450V5,,CHLRE_06G306350V5,CHLRE_06G294200V5,CHLRE_03G145227V5,,,,CHLRE_03G201950V5,CHLRE_12G524700V5,CHLRE_03G151600V5,CHLRE_09G387467V5
CHLRE_03G194250V5,CHLRE_12G501100V5,,CHLRE_06G306900V5,CHLRE_06G295100V5,CHLRE_03G145267V5,,,,CHLRE_03G201850V5,CHLRE_12G524900V5,CHLRE_03G151950V5,CHLRE_09G387504V5
CHLRE_03G194600V5,CHLRE_12G499850V5,,CHLRE_06G307650V5,CHLRE_06G295700V5,CHLRE_03G145387V5,,,,CHLRE_03G199800V5,CHLRE_12G525750V5,CHLRE_03G152000V5,CHLRE_09G387578V5
CHLRE_03G194900V5,CHLRE_12G498500V5,,CHLRE_06G307900V5,CHLRE_06G295950V5,CHLRE_03G145407V5,,,,CHLRE_03G199150V5,CHLRE_12G525950V5,CHLRE_03G152200V5,CHLRE_09G387615V5
CHLRE_03G195100V5,CHLRE_12G496700V5,,CHLRE_06G308350V5,CHLRE_06G296050V5,CHLRE_03G145427V5,,,,CHLRE_03G198850V5,CHLRE_12G526650V5,CHLRE_03G152300V5,CHLRE_09G387912V5
CHLRE_03G195250V5,CHLRE_12G496150V5,,CHLRE_06G309450V5,CHLRE_06G297049V5,CHLRE_03G145547V5,,,,CHLRE_03G213537V5,CHLRE_12G527250V5,CHLRE_03G152701V5,CHLRE_09G388097V5
CHLRE_03G195450V5,CHLRE_12G514000V5,,CHLRE_06G311600V5,CHLRE_06G298100V5,CHLRE_03G145587V5,,,,CHLRE_03G212081V5,CHLRE_12G532200V5,CHLRE_03G153000V5,CHLRE_09G388134V5
CHLRE_03G195850V5,CHLRE_12G517681V5,,CHLRE_07G312400V5,CHLRE_06G299250V5,CHLRE_03G146127V5,,,,CHLRE_03G210289V5,CHLRE_12G533100V5,CHLRE_03G153400V5,CHLRE_09G388430V5
CHLRE_03G196100V5,CHLRE_12G518800V5,,CHLRE_07G314250V5,CHLRE_06G300450V5,CHLRE_03G146167V5,,,,CHLRE_03G209953V5,CHLRE_12G533250V5,CHLRE_03G153500V5,CHLRE_09G388689V5
CHLRE_03G196950V5,CHLRE_12G521000V5,,CHLRE_07G315650V5,CHLRE_06G301450V5,CHLRE_03G146187V5,,,,CHLRE_03G209617V5,CHLRE_12G534300V5,CHLRE_03G153550V5,CHLRE_09G388726V5
CHLRE_03G197050V5,CHLRE_12G521950V5,,CHLRE_07G317150V5,CHLRE_06G302250V5,CHLRE_03G146287V5,,,,CHLRE_03G209281V5,CHLRE_12G535450V5,CHLRE_03G153800V5,CHLRE_09G388801V5
CHLRE_03G197300V5,CHLRE_12G522250V5,,CHLRE_07G317500V5,CHLRE_06G303251V5,CHLRE_03G146467V5,,,,CHLRE_03G204689V5,CHLRE_12G537581V5,CHLRE_03G153900V5,CHLRE_09G389208V5
CHLRE_03G197500V5,CHLRE_12G523050V5,,CHLRE_07G318750V5,CHLRE_06G303536V5,CHLRE_03G146527V5,,,,CHLRE_03G202561V5,CHLRE_12G561100V5,CHLRE_03G154000V5,CHLRE_09G389652V5
CHLRE_03G197550V5,CHLRE_12G523100V5,,CHLRE_07G319100V5,CHLRE_06G304100V5,CHLRE_03G146567V5,,,,CHLRE_03G202113V5,CHLRE_12G559450V5,CHLRE_03G154651V5,CHLRE_09G390023V5
CHLRE_03G197700V5,CHLRE_12G524750V5,,CHLRE_07G320093V5,CHLRE_06G304500V5,CHLRE_03G146587V5,,,,CHLRE_03G200655V5,CHLRE_12G557350V5,CHLRE_03G155150V5,CHLRE_09G390171V5
CHLRE_03G207750V5,CHLRE_12G525600V5,,CHLRE_07G320650V5,CHLRE_06G304850V5,CHLRE_03G146607V5,,,,CHLRE_04G213761V5,CHLRE_12G556700V5,CHLRE_03G155450V5,CHLRE_09G390208V5
CHLRE_03G207600V5,CHLRE_12G527250V5,,CHLRE_07G322400V5,CHLRE_06G304913V5,CHLRE_03G148050V5,,,,CHLRE_04G216850V5,CHLRE_12G555800V5,CHLRE_03G155550V5,CHLRE_09G390356V5
CHLRE_03G207550V5,CHLRE_12G527400V5,,CHLRE_07G322750V5,CHLRE_06G304950V5,CHLRE_03G148500V5,,,,CHLRE_04G216950V5,CHLRE_12G555700V5,CHLRE_03G156350V5,CHLRE_09G390430V5
CHLRE_03G206250V5,CHLRE_12G527650V5,,CHLRE_07G322800V5,CHLRE_06G305000V5,CHLRE_03G148700V5,,,,CHLRE_04G217910V5,CHLRE_12G555250V5,CHLRE_03G156400V5,CHLRE_09G390912V5
