CC2931-L1,CC2931-L2,CC2931-L3,CC2931-L4,CC2931-L5,CC2931-L6,CC2931-L7,CC2931-L9,CC2931-L10,CC2931-L11,CC2931-L13,CC2931-L14,CC2931-L15
CHLRE_01G008051V5,CHLRE_01G030700V5,CHLRE_01G045000V5,CHLRE_01G014350V5,CHLRE_01G008550V5,CHLRE_01G007901V5,CHLRE_01G054600V5,CHLRE_02G094050V5,CHLRE_03G207100V5,CHLRE_01G005400V5,CHLRE_01G023950V5,CHLRE_01G014050V5,CHLRE_01G002550V5
CHLRE_01G008150V5,CHLRE_01G031650V5,CHLRE_01G051174V5,CHLRE_01G015000V5,CHLRE_01G009250V5,CHLRE_01G008100V5,CHLRE_01G054750V5,CHLRE_02G106100V5,CHLRE_03G206550V5,CHLRE_01G007150V5,CHLRE_01G025750V5,CHLRE_01G014400V5,CHLRE_01G002650V5
CHLRE_01G008450V5,CHLRE_01G037150V5,CHLRE_02G073600V5,CHLRE_01G015700V5,CHLRE_01G010100V5,CHLRE_01G008250V5,CHLRE_02G074600V5,CHLRE_02G118200V5,CHLRE_03G199500V5,CHLRE_01G007737V5,CHLRE_01G026050V5,CHLRE_01G014500V5,CHLRE_01G002700V5
CHLRE_01G008850V5,CHLRE_01G037350V5,CHLRE_02G075050V5,CHLRE_01G015850V5,CHLRE_01G010300V5,CHLRE_01G008550V5,CHLRE_02G075050V5,CHLRE_09G389100V5,CHLRE_04G226550V5,CHLRE_01G007774V5,CHLRE_01G026500V5,CHLRE_01G014650V5,CHLRE_01G002900V5
CHLRE_01G008950V5,CHLRE_01G037950V5,CHLRE_02G084250V5,CHLRE_01G017650V5,CHLRE_01G011400V5,CHLRE_01G008950V5,CHLRE_02G078350V5,CHLRE_09G392393V5,CHLRE_04G232702V5,CHLRE_01G007901V5,CHLRE_01G026650V5,CHLRE_01G014700V5,CHLRE_01G003050V5
CHLRE_01G009650V5,CHLRE_01G039900V5,CHLRE_02G085600V5,CHLRE_01G018550V5,CHLRE_01G011901V5,CHLRE_01G009150V5,CHLRE_02G078950V5,CHLRE_02G145250V5,CHLRE_05G240800V5,CHLRE_01G008850V5,CHLRE_01G026900V5,CHLRE_01G014751V5,CHLRE_01G003100V5
CHLRE_01G012200V5,CHLRE_01G040500V5,CHLRE_02G087000V5,CHLRE_01G018700V5,CHLRE_01G012400V5,CHLRE_01G009575V5,CHLRE_02G079351V5,CHLRE_02G144650V5,CHLRE_05G234100V5,CHLRE_01G008891V5,CHLRE_01G030300V5,CHLRE_01G014800V5,CHLRE_01G003150V5
CHLRE_01G012350V5,CHLRE_01G042950V5,CHLRE_02G089900V5,CHLRE_01G019450V5,CHLRE_01G013200V5,CHLRE_01G009765V5,CHLRE_02G084250V5,CHLRE_03G144284V5,CHLRE_06G249800V5,CHLRE_01G010201V5,CHLRE_01G037600V5,CHLRE_01G014850V5,CHLRE_01G003200V5
CHLRE_01G013200V5,CHLRE_01G043250V5,CHLRE_02G090050V5,CHLRE_01G019650V5,CHLRE_01G014300V5,CHLRE_01G009800V5,CHLRE_02G086076V5,CHLRE_03G145127V5,CHLRE_06G257300V5,CHLRE_01G010550V5,CHLRE_01G038900V5,CHLRE_01G014900V5,CHLRE_01G003450V5
CHLRE_01G013350V5,CHLRE_01G043950V5,CHLRE_02G092000V5,CHLRE_01G019900V5,CHLRE_01G017150V5,CHLRE_01G009850V5,CHLRE_02G086100V5,CHLRE_03G154200V5,CHLRE_06G260200V5,CHLRE_01G011300V5,CHLRE_01G040379V5,CHLRE_01G014950V5,CHLRE_01G003463V5
CHLRE_01G014250V5,CHLRE_01G044300V5,CHLRE_02G105900V5,CHLRE_01G020350V5,CHLRE_01G017450V5,CHLRE_01G010300V5,CHLRE_02G087000V5,CHLRE_03G158150V5,CHLRE_06G260550V5,CHLRE_01G011901V5,CHLRE_01G041752V5,CHLRE_01G015000V5,CHLRE_01G003487V5
CHLRE_01G014950V5,CHLRE_01G047500V5,CHLRE_02G109333V5,CHLRE_01G020400V5,CHLRE_01G018150V5,CHLRE_01G010750V5,CHLRE_02G089500V5,CHLRE_03G166950V5,CHLRE_06G262050V5,CHLRE_01G012150V5,CHLRE_01G044150V5,CHLRE_01G015050V5,CHLRE_01G003500V5
CHLRE_01G015350V5,CHLRE_01G051350V5,CHLRE_02G110900V5,CHLRE_01G021251V5,CHLRE_01G019150V5,CHLRE_01G010950V5,CHLRE_02G093401V5,CHLRE_03G169800V5,CHLRE_06G278113V5,CHLRE_01G012200V5,CHLRE_01G049550V5,CHLRE_01G015103V5,CHLRE_01G003550V5
CHLRE_01G015700V5,CHLRE_01G051400V5,CHLRE_02G115500V5,CHLRE_01G021500V5,CHLRE_01G019700V5,CHLRE_01G011200V5,CHLRE_02G094050V5,CHLRE_03G176500V5,CHLRE_06G278164V5,CHLRE_01G012350V5,CHLRE_01G051350V5,CHLRE_01G015300V5,CHLRE_01G003751V5
CHLRE_01G016100V5,CHLRE_01G052000V5,CHLRE_02G119600V5,CHLRE_01G022500V5,CHLRE_01G022681V5,CHLRE_01G011660V5,CHLRE_02G104850V5,CHLRE_03G179100V5,CHLRE_06G278165V5,CHLRE_01G012400V5,CHLRE_01G053288V5,CHLRE_01G015400V5,CHLRE_01G004250V5
CHLRE_01G016200V5,CHLRE_01G052150V5,CHLRE_09G387430V5,CHLRE_01G022550V5,CHLRE_01G023150V5,CHLRE_01G012200V5,CHLRE_02G111900V5,CHLRE_03G186550V5,CHLRE_06G278231V5,CHLRE_01G013050V5,CHLRE_01G054750V5,CHLRE_01G015600V5,CHLRE_01G004300V5
CHLRE_01G016350V5,CHLRE_01G052550V5,CHLRE_09G390134V5,CHLRE_01G023750V5,CHLRE_01G023450V5,CHLRE_01G012350V5,CHLRE_02G115500V5,CHLRE_03G193250V5,CHLRE_06G289300V5,CHLRE_01G013100V5,CHLRE_02G075500V5,CHLRE_01G015650V5,CHLRE_01G004350V5
CHLRE_01G016556V5,CHLRE_01G053288V5,CHLRE_02G142353V5,CHLRE_01G023913V5,CHLRE_01G024500V5,CHLRE_01G012500V5,CHLRE_02G118200V5,CHLRE_03G204465V5,CHLRE_06G297900V5,CHLRE_01G013150V5,CHLRE_02G077451V5,CHLRE_01G015950V5,CHLRE_01G004400V5
CHLRE_01G016700V5,CHLRE_01G053500V5,CHLRE_03G143927V5,CHLRE_01G024200V5,CHLRE_01G024750V5,CHLRE_01G013400V5,CHLRE_09G387950V5,CHLRE_04G217914V5,CHLRE_06G305850V5,CHLRE_01G013350V5,CHLRE_02G078400V5,CHLRE_01G016050V5,CHLRE_01G004450V5
CHLRE_01G017150V5,CHLRE_01G054850V5,CHLRE_03G145827V5,CHLRE_01G024750V5,CHLRE_01G025767V5,CHLRE_01G013450V5,CHLRE_09G387430V5,CHLRE_04G217951V5,CHLRE_07G321800V5,CHLRE_01G015700V5,CHLRE_02G078950V5,CHLRE_01G016200V5,CHLRE_01G004500V5
CHLRE_01G017600V5,CHLRE_01G054900V5,CHLRE_03G149700V5,CHLRE_01G025150V5,CHLRE_01G026450V5,CHLRE_01G013500V5,CHLRE_09G389875V5,CHLRE_04G213450V5,CHLRE_07G322400V5,CHLRE_01G016350V5,CHLRE_02G079700V5,CHLRE_01G016250V5,CHLRE_01G004550V5
CHLRE_01G017900V5,CHLRE_01G063267V5,CHLRE_03G149750V5,CHLRE_01G026050V5,CHLRE_01G026500V5,CHLRE_01G014300V5,CHLRE_02G142950V5,CHLRE_04G221850V5,CHLRE_07G324650V5,CHLRE_01G017550V5,CHLRE_02G082050V5,CHLRE_01G016300V5,CHLRE_01G004600V5
