CC2344-L1,CC2344-L2,CC2344-L3,CC2344-L4,CC2344-L5,CC2344-L6,CC2344-L7,CC2344-L8,CC2344-L9,CC2344-L10,CC2344-L11,CC2344-L12,CC2344-L13,CC2344-L14,CC2344-L15
,,,,,,,,5720432,,5721467.0,,,,
,,,,,,,,5717046,,5724038.0,,,,
,,,,,,,,5720364,,5720868.0,,,,
,,,,,,,,5721396,,5723630.0,,,,
,,,,,,,,5719129,,5715766.0,,,,
,,,,,,,,5723536,,5718949.0,,,,
,,,,,,,,5721547,,5725368.0,,,,
,,,,,,,,5728072,,5721991.0,,,,
,,,,,,,,5720274,,5718254.0,,,,
,,,,,,,,5723630,,5715753.0,,,,
,,,,,,,,5720157,,5716986.0,,,,
,,,,,,,,5719425,,5718266.0,,,,
,,,,,,,,5715766,,5728211.0,,,,
,,,,,,,,5725368,,5720469.0,,,,
,,,,,,,,5725863,,5728014.0,,,,
,,,,,,,,5729050,,5717485.0,,,,
,,,,,,,,5718254,,5717568.0,,,,
,,,,,,,,5728211,,5715406.0,,,,
,,,,,,,,5720469,,5719720.0,,,,
,,,,,,,,5721707,,5720844.0,,,,
,,,,,,,,5719426,,5728910.0,,,,
,,,,,,,,5716426,,5726191.0,,,,
,,,,,,,,5720275,,5716101.0,,,,
,,,,,,,,5721760,,5715198.0,,,,
,,,,,,,,5728866,,5718634.0,,,,
,,,,,,,,5729132,,5727538.0,,,,
,,,,,,,,5719720,,5724751.0,,,,
,,,,,,,,5720844,,5726664.0,,,,
,,,,,,,,5719230,,5719917.0,,,,
,,,,,,,,5728188,,5727886.0,,,,
,,,,,,,,5728369,,5719789.0,,,,
,,,,,,,,5728910,,5721478.0,,,,
,,,,,,,,5722181,,5722283.0,,,,
,,,,,,,,5717254,,5719095.0,,,,
,,,,,,,,5719589,,,,,,
,,,,,,,,5726664,,,,,,
,,,,,,,,5726501,,,,,,
,,,,,,,,5727215,,,,,,
,,,,,,,,5719634,,,,,,
,,,,,,,,5719098,,,,,,
,,,,,,,,5724234,,,,,,
,,,,,,,,5727886,,,,,,
,,,,,,,,5728767,,,,,,
,,,,,,,,5728754,,,,,,
,,,,,,,,5721256,,,,,,
,,,,,,,,5721538,,,,,,
,,,,,,,,5715835,,,,,,
,,,,,,,,5726980,,,,,,
,,,,,,,,5720431,,,,,,
