CC2344-L1,CC2344-L2,CC2344-L3,CC2344-L4,CC2344-L5,CC2344-L6,CC2344-L7,CC2344-L8,CC2344-L9,CC2344-L10,CC2344-L11,CC2344-L12,CC2344-L13,CC2344-L14,CC2344-L15,CC2931-L1,CC2931-L2,CC2931-L3,CC2931-L4,CC2931-L5,CC2931-L6,CC2931-L7,CC2931-L9,CC2931-L10,CC2931-L11,CC2931-L13,CC2931-L14,CC2931-L15
ChCC-v11007312m.g,ChCC-v11000702m.g,ChCC-v11036628m.g,ChCC-v11029366m.g,ChCC-v11035973m.g,ChCC-v11007312m.g,,ChCC-v11000548m.g,ChCC-v11000654m.g,ChCC-v11000744m.g,ex.Cre04.g216826.t1.2.g,ChCC-v11007308m.g,ChCC-v11024824m.g,ChCC-v11019593m.g,ChCC-v11007312m.g,ChCC-v11017810m.g,ChCC-v11023028m.g,ChCC-v11026613m.g,ChCC-v11003493m.g,ChCC-v11010578m.g,ChCC-v11032278m.g,ChCC-v11029028m.g,ChCC-v11023411m.g,ChCC-v11010279m.g,ChCC-v11012440m.g,fli.orf.31.g,ChCC-v11024096m.g,ChCC-v11012107m.g
ChCC-v11007594m.g,ChCC-v11021095m.g,ChCC-v11012977m.g,ChCC-v11005802m.g,ChCC-v11007452m.g,ChCC-v11008851m.g,,ChCC-v11009832m.g,ChCC-v11001408m.g,ChCC-v11035369m.g,ChCC-v11037118m.g,ChCC-v11020984m.g,,ChCC-v11022962m.g,ChCC-v11006743m.g,ChCC-v11029745m.g,ChCC-v11015951m.g,ChCC-v11006627m.g,ChCC-v11016063m.g,ChCC-v11003506m.g,ChCC-v11015510m.g,ChCC-v11011118m.g,ChCC-v11035708m.g,ChCC-v11013270m.g,ChCC-v11029028m.g,ChCC-v11025623m.g,ChCC-v11025672m.g,ChCC-v11011506m.g
ChCC-v11014046m.g,ChCC-v11029112m.g,ChCC-v11019593m.g,ChCC-v11004474m.g,ChCC-v11019294m.g,ChCC-v11020611m.g,,ex.Cre13.g565083.t1.1.g,ChCC-v11021580m.g,ChCC-v11019593m.g,ex.Cre01.g039000.t1.1.g,ChCC-v11031213m.g,,ChCC-v11010143m.g,ChCC-v11003891m.g,ChCC-v11015190m.g,ChCC-v11000815m.g,ChCC-v11012462m.g,ChCC-v11022197m.g,ChCC-v11006818m.g,ChCC-v11011405m.g,ChCC-v11022197m.g,ChCC-v11000081m.g,ChCC-v11015246m.g,ChCC-v11022415m.g,ChCC-v11013505m.g,ChCC-v11017810m.g,ChCC-v11012114m.g
ChCC-v11008201m.g,ChCC-v11023487m.g,ChCC-v11030306m.g,ChCC-v11032959m.g,ChCC-v11015720m.g,ChCC-v11026269m.g,,ChCC-v11021095m.g,ChCC-v11028638m.g,ChCC-v11000248m.g,ChCC-v11024832m.g,ChCC-v11009168m.g,,,ChCC-v11035612m.g,ChCC-v11017696m.g,ChCC-v11026080m.g,ChCC-v11036437m.g,ChCC-v11029907m.g,ChCC-v11022990m.g,ChCC-v11033083m.g,ChCC-v11008978m.g,ChCC-v11011602m.g,,ChCC-v11015674m.g,ChCC-v11012462m.g,ChCC-v11000873m.g,ChCC-v11013573m.g
ChCC-v11028638m.g,ChCC-v11014849m.g,,ChCC-v11001895m.g,ChCC-v11007708m.g,ChCC-v11001331m.g,,ChCC-v11011521m.g,ex.Cre04.g216826.t1.2.g,ChCC-v11007708m.g,ChCC-v11013973m.g,ChCC-v11028002m.g,,,ChCC-v11001732m.g,ChCC-v11011118m.g,ChCC-v11002915m.g,ChCC-v11015190m.g,ChCC-v11010557m.g,ChCC-v11008928m.g,ChCC-v11009070m.g,ChCC-v11029745m.g,ChCC-v11024075m.g,,ChCC-v11004172m.g,ChCC-v11026408m.g,ChCC-v11006743m.g,ChCC-v11007600m.g
ChCC-v11007042m.g,ChCC-v11030343m.g,,ChCC-v11005238m.g,ChCC-v11002592m.g,ChCC-v11003589m.g,,ChCC-v11020446m.g,ChCC-v11021844m.g,ChCC-v11032405m.g,ChCC-v11013381m.g,ChCC-v11018437m.g,,,ChCC-v11012706m.g,ChCC-v11035995m.g,ChCC-v11004446m.g,ChCC-v11008978m.g,ChCC-v11036180m.g,ChCC-v11026488m.g,ChCC-v11010509m.g,ChCC-v11000067m.g,ChCC-v11036696m.g,,ChCC-v11035316m.g,ChCC-v11014803m.g,ChCC-v11000815m.g,ChCC-v11022583m.g
ChCC-v11023339m.g,ChCC-v11016304m.g,,ChCC-v11003863m.g,ChCC-v11008758m.g,ChCC-v11019258m.g,,ChCC-v11031754m.g,ChCC-v11022799m.g,ChCC-v11009832m.g,ChCC-v11011857m.g,ChCC-v11018205m.g,,,ChCC-v11021784m.g,ChCC-v11011056m.g,ChCC-v11020384m.g,ChCC-v11029219m.g,ChCC-v11029698m.g,ex.Cre04.g216826.t1.2.g,ChCC-v11027723m.g,ChCC-v11016169m.g,ChCC-v11014803m.g,,ChCC-v11011980m.g,ChCC-v11022583m.g,ChCC-v11033646m.g,ChCC-v11006603m.g
ChCC-v11003581m.g,ChCC-v11029969m.g,,ex.Cre04.g216826.t1.2.g,ChCC-v11003718m.g,ChCC-v11001732m.g,,ChCC-v11035827m.g,ChCC-v11036366m.g,ChCC-v11027735m.g,ChCC-v11012251m.g,ChCC-v11014962m.g,,,ChCC-v11003172m.g,ChCC-v11006108m.g,ChCC-v11015643m.g,ChCC-v11008003m.g,ChCC-v11014958m.g,ChCC-v11002656m.g,ChCC-v11013579m.g,ChCC-v11003506m.g,ChCC-v11034338m.g,,ChCC-v11017557m.g,ChCC-v11003474m.g,ChCC-v11003493m.g,ChCC-v11016063m.g
ChCC-v11001732m.g,ChCC-v11021971m.g,,ChCC-v11007708m.g,,ChCC-v11035973m.g,,ChCC-v11036512m.g,ChCC-v11037118m.g,ChCC-v11016393m.g,ex.ChCC-v11023607m.g,ChCC-v11005175m.g,,,ChCC-v11035677m.g,ChCC-v11036072m.g,ChCC-v11005654m.g,ChCC-v11015747m.g,ChCC-v11006603m.g,ChCC-v11019364m.g,ChCC-v11002479m.g,ChCC-v11010572m.g,ChCC-v11025837m.g,,ChCC-v11014214m.g,ChCC-v11002941m.g,ChCC-v11014187m.g,ChCC-v11013575m.g
ChCC-v11022799m.g,ChCC-v11005371m.g,,ChCC-v11019593m.g,,ChCC-v11032528m.g,,ChCC-v11035147m.g,ChCC-v11009832m.g,ChCC-v11007758m.g,ChCC-v11032765m.g,ChCC-v11035034m.g,,,ChCC-v11017223m.g,ChCC-v11023012m.g,ChCC-v11000567m.g,ChCC-v11016084m.g,ChCC-v11010994m.g,ChCC-v11023984m.g,ChCC-v11025151m.g,ChCC-v11022669m.g,ChCC-v11025697m.g,,ChCC-v11017792m.g,ChCC-v11017810m.g,ChCC-v11001326m.g,ChCC-v11027142m.g
